MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/15/2025 2:11:31,1.17.0,baseline,2,3.71,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,0
2/15/2025 2:14:43,1.17.0,baseline,2,3.71,nan,1,RightWithPellet,LeftANDRight,1,1,0,0,0,nan,nan,191
2/15/2025 2:14:47,1.17.0,baseline,2,3.71,1,1,Pellet,LeftANDRight,1,1,0,1,0,Timed_out,nan,nan
2/15/2025 2:22:38,1.17.0,baseline,2,3.71,nan,1,Left,LeftANDRight,2,1,0,1,0,nan,nan,134
2/15/2025 2:22:40,1.17.0,baseline,2,3.71,1,1,Pellet,LeftANDRight,2,1,0,2,0,0.06,473,nan
2/15/2025 5:59:46,1.17.0,baseline,2,3.71,nan,1,Right,LeftANDRight,2,2,0,2,0,nan,nan,109
2/15/2025 6:00:05,1.17.0,baseline,2,3.69,1,1,Pellet,LeftANDRight,2,2,0,3,0,16.78,13045,nan
2/15/2025 6:02:17,1.17.0,baseline,2,3.70,nan,1,Left,LeftANDRight,3,2,0,3,0,nan,nan,119
2/15/2025 6:02:17,1.17.0,baseline,2,3.70,nan,1,LeftinTimeOut,LeftANDRight,4,2,0,3,0,nan,nan,nan
2/15/2025 6:02:25,1.17.0,baseline,2,3.69,1,1,Pellet,LeftANDRight,4,2,0,4,0,6.44,140,nan
2/15/2025 6:02:56,1.17.0,baseline,2,3.70,nan,1,Left,LeftANDRight,5,2,0,4,0,nan,nan,848
2/15/2025 6:03:04,1.17.0,baseline,2,3.71,2,1,Pellet,LeftANDRight,5,2,0,5,0,6.07,39,nan
2/15/2025 6:04:05,1.17.0,baseline,2,3.69,nan,1,Right,LeftANDRight,5,3,0,5,0,nan,nan,0
2/15/2025 6:04:29,1.17.0,baseline,2,3.70,1,1,Pellet,LeftANDRight,5,3,0,6,0,22.31,85,nan
2/15/2025 6:14:48,1.17.0,baseline,2,3.70,nan,1,Left,LeftANDRight,6,3,0,6,0,nan,nan,32
2/15/2025 6:14:58,1.17.0,baseline,2,3.70,2,1,Pellet,LeftANDRight,6,3,0,7,0,7.54,629,nan
2/15/2025 6:15:24,1.17.0,baseline,2,3.69,nan,1,Left,LeftANDRight,7,3,0,7,0,nan,nan,72
2/15/2025 6:15:26,1.17.0,baseline,2,3.70,1,1,Pellet,LeftANDRight,7,3,0,8,0,0.06,28,nan
2/15/2025 6:18:09,1.17.0,baseline,2,3.70,nan,1,Right,LeftANDRight,7,4,0,8,0,nan,nan,2
2/15/2025 6:18:19,1.17.0,baseline,2,3.70,1,1,Pellet,LeftANDRight,7,4,0,9,0,7.97,173,nan
2/15/2025 6:19:57,1.17.0,baseline,2,3.70,nan,1,Right,LeftANDRight,7,5,0,9,0,nan,nan,556
2/15/2025 6:20:07,1.17.0,baseline,2,3.69,1,1,Pellet,LeftANDRight,7,5,0,10,0,7.24,108,nan
2/15/2025 6:20:28,1.17.0,baseline,2,3.70,nan,1,Left,LeftANDRight,8,5,0,10,0,nan,nan,720
