MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/18/2025 11:03:38,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,825
2/18/2025 11:07:02,1.17.0,baseline,1,3.67,2,1,Pellet,LeftANDRight,0,1,0,1,0,Timed_out,nan,nan
2/18/2025 12:53:19,1.17.0,baseline,1,3.68,nan,1,Right,LeftANDRight,0,2,0,1,0,nan,nan,216
2/18/2025 12:53:21,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,2,0,2,0,0.06,6379,nan
2/18/2025 14:05:40,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,3,0,2,0,nan,nan,270
2/18/2025 14:05:40,1.17.0,baseline,1,3.67,nan,1,RightinTimeout,LeftANDRight,0,4,0,2,0,nan,nan,0
2/18/2025 14:05:40,1.17.0,baseline,1,3.67,nan,1,RightinTimeout,LeftANDRight,0,4,0,2,0,nan,nan,293
2/18/2025 14:05:41,1.17.0,baseline,1,3.67,nan,1,RightinTimeout,LeftANDRight,0,4,0,2,0,nan,nan,586
2/18/2025 14:05:48,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,4,0,3,0,6.19,4347,nan
2/18/2025 15:10:52,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,5,0,3,0,nan,nan,24
2/18/2025 15:10:57,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,5,0,4,0,3.55,3909,nan
2/18/2025 15:11:59,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,6,0,4,0,nan,nan,786
2/18/2025 15:12:05,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,6,0,5,0,3.49,68,nan
2/18/2025 15:12:58,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,7,0,5,0,nan,nan,424
2/18/2025 15:13:06,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,7,0,6,0,5.33,61,nan
2/18/2025 16:15:39,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,8,0,6,0,nan,nan,62
2/18/2025 16:15:42,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,8,0,7,0,1.52,3756,nan
2/18/2025 16:16:21,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,9,0,7,0,nan,nan,411
2/18/2025 16:16:24,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,9,0,8,0,1.28,42,nan
2/18/2025 16:17:01,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,10,0,8,0,nan,nan,430
2/18/2025 16:17:04,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,10,0,9,0,1.16,40,nan
2/18/2025 17:06:36,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,11,0,9,0,nan,nan,132
2/18/2025 17:06:40,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,11,0,10,0,1.16,2976,nan
2/18/2025 17:07:11,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,12,0,10,0,nan,nan,236
2/18/2025 17:07:14,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,12,0,11,0,0.97,34,nan
2/18/2025 17:08:17,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,13,0,11,0,nan,nan,333
2/18/2025 17:08:19,1.17.0,baseline,1,3.67,1,1,Pellet,LeftANDRight,0,13,0,12,0,0.12,65,nan
2/18/2025 17:08:37,1.17.0,baseline,1,3.67,nan,1,Right,LeftANDRight,0,14,0,12,0,nan,nan,51
2/18/2025 17:08:41,1.17.0,baseline,1,3.66,nan,1,RightWithPellet,LeftANDRight,0,15,0,12,0,nan,nan,91
2/18/2025 17:08:44,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,15,0,13,0,5.10,25,nan
2/18/2025 17:10:27,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,16,0,13,0,nan,nan,312
2/18/2025 17:10:32,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,16,0,14,0,3.36,108,nan
2/18/2025 18:09:56,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,17,0,14,0,nan,nan,25
2/18/2025 18:10:00,1.17.0,baseline,1,3.66,nan,1,RightWithPellet,LeftANDRight,0,18,0,14,0,nan,nan,589
2/18/2025 18:10:03,1.17.0,baseline,1,3.66,2,1,Pellet,LeftANDRight,0,18,0,15,0,5.35,3571,nan
2/18/2025 18:10:38,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,19,0,15,0,nan,nan,507
2/18/2025 18:10:41,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,19,0,16,0,0.67,38,nan
2/18/2025 18:11:13,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,20,0,16,0,nan,nan,48
2/18/2025 18:11:14,1.17.0,baseline,1,3.66,nan,1,RightinTimeout,LeftANDRight,0,21,0,16,0,nan,nan,0
2/18/2025 18:11:16,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,21,0,17,0,0.91,35,nan
2/18/2025 18:11:41,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,22,0,17,0,nan,nan,14
2/18/2025 18:11:44,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,22,0,18,0,0.79,28,nan
2/18/2025 18:12:04,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,23,0,18,0,nan,nan,214
2/18/2025 18:12:08,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,23,0,19,0,1.71,24,nan
2/18/2025 18:12:25,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,24,0,19,0,nan,nan,49
2/18/2025 18:12:29,1.17.0,baseline,1,3.66,1,1,Pellet,LeftANDRight,0,24,0,20,0,2.20,21,nan
2/18/2025 18:48:25,1.17.0,baseline,1,3.66,nan,1,Right,LeftANDRight,0,25,0,20,0,nan,nan,707
