MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/12/2025 8:50:21,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,393,nan
3/12/2025 8:50:40,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,1,0,0,1,0,3.55,nan,nan,15
3/12/2025 8:50:44,1.17.0,certainty,8,4.02,nan,1,Right,LeftANDRight,1,1,0,1,0,nan,nan,276,nan
3/12/2025 8:51:51,1.17.0,certainty,8,4.02,nan,1,LeftWithPellet,LeftANDRight,2,1,0,1,0,nan,nan,8,nan
3/12/2025 8:51:56,1.17.0,certainty,8,4.03,1,1,Pellet,LeftANDRight,2,1,0,2,0,55.71,76,nan,15
3/12/2025 8:52:19,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,3,1,0,2,0,nan,nan,232,nan
3/12/2025 8:52:35,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,3,1,0,3,0,0.06,39,nan,15
3/12/2025 8:53:31,1.17.0,certainty,8,4.02,nan,1,Right,LeftANDRight,3,2,0,3,0,nan,nan,34,nan
3/12/2025 8:53:39,1.17.0,certainty,8,4.02,nan,1,RightinTimeout,LeftANDRight,3,3,0,3,0,nan,nan,0,nan
3/12/2025 8:53:52,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,3,3,0,4,0,4.96,77,nan,15
3/12/2025 8:55:24,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,4,3,0,4,0,nan,nan,84,nan
3/12/2025 8:55:47,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,4,3,0,5,0,7.23,115,nan,15
3/12/2025 8:59:08,1.17.0,certainty,8,4.03,nan,1,Left,LeftANDRight,5,3,0,5,0,nan,nan,372,nan
3/12/2025 8:59:09,1.17.0,certainty,8,4.03,nan,1,RightinTimeout,LeftANDRight,5,4,0,5,0,nan,nan,0,nan
3/12/2025 8:59:09,1.17.0,certainty,8,4.03,nan,1,RightinTimeout,LeftANDRight,5,4,0,5,0,nan,nan,293,nan
3/12/2025 8:59:09,1.17.0,certainty,8,4.02,nan,1,RightinTimeout,LeftANDRight,5,4,0,5,0,nan,nan,581,nan
3/12/2025 8:59:09,1.17.0,certainty,8,4.02,nan,1,RightinTimeout,LeftANDRight,5,4,0,5,0,nan,nan,870,nan
3/12/2025 8:59:10,1.17.0,certainty,8,4.02,nan,1,RightinTimeout,LeftANDRight,5,4,0,5,0,nan,nan,1158,nan
3/12/2025 8:59:11,1.17.0,certainty,8,4.02,nan,1,RightinTimeout,LeftANDRight,5,5,0,5,0,nan,nan,0,nan
3/12/2025 8:59:24,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,5,5,0,6,0,0.06,217,nan,15
3/12/2025 9:00:11,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,6,5,0,6,0,nan,nan,360,nan
3/12/2025 9:00:31,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,6,5,0,7,0,3.79,67,nan,15
3/12/2025 9:02:08,1.17.0,certainty,8,4.03,nan,1,Left,LeftANDRight,7,5,0,7,0,nan,nan,124,nan
3/12/2025 9:02:24,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,7,5,0,8,0,0.06,113,nan,15
3/12/2025 9:57:21,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,8,5,0,8,0,nan,nan,88,nan
3/12/2025 9:57:41,1.17.0,certainty,8,4.03,1,1,Pellet,LeftANDRight,8,5,0,9,0,3.67,3317,nan,15
3/12/2025 10:05:30,1.17.0,certainty,8,4.03,nan,1,Left,LeftANDRight,9,5,0,9,0,nan,nan,228,nan
3/12/2025 10:05:31,1.17.0,certainty,8,4.02,nan,1,LeftinTimeOut,LeftANDRight,10,5,0,9,0,nan,nan,nan,nan
3/12/2025 10:05:47,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,10,5,0,10,0,0.36,486,nan,15
3/12/2025 10:07:38,1.17.0,certainty,8,4.02,nan,1,Right,LeftANDRight,10,6,0,10,0,nan,nan,170,nan
3/12/2025 10:07:55,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,10,6,0,11,0,1.65,128,nan,15
3/12/2025 10:08:58,1.17.0,certainty,8,4.02,nan,1,Left,LeftANDRight,11,6,0,11,0,nan,nan,124,nan
3/12/2025 10:09:17,1.17.0,certainty,8,4.02,1,1,Pellet,LeftANDRight,11,6,0,12,0,2.62,82,nan,15
3/12/2025 10:17:44,1.17.0,certainty,8,4.02,nan,1,Right,LeftANDRight,11,7,0,12,0,nan,nan,89,nan
3/12/2025 10:18:29,1.17.0,certainty,8,4.02,2,1,Pellet,LeftANDRight,11,7,0,13,0,28.20,552,nan,15
