MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/7/2025 9:49:24,1.17.0,uncertainty,1,4.05,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,365,nan
3/7/2025 9:49:32,1.17.0,uncertainty,1,4.04,3,1,Pellet,LeftANDRight,1,0,0,1,0,4.95,nan,nan,0
3/7/2025 9:49:35,1.17.0,uncertainty,1,4.04,nan,1,Right,LeftANDRight,1,1,0,1,0,nan,nan,337,nan
3/7/2025 9:51:37,1.17.0,uncertainty,1,4.03,2,1,Pellet,LeftANDRight,1,1,0,2,0,120.20,125,nan,1
3/7/2025 9:55:15,1.17.0,uncertainty,1,4.04,nan,1,Left,LeftANDRight,2,1,0,2,0,nan,nan,349,nan
3/7/2025 9:56:07,1.17.0,uncertainty,1,4.05,2,1,Pellet,LeftANDRight,2,1,0,3,0,0.06,270,nan,50
3/7/2025 10:03:52,1.17.0,uncertainty,1,4.05,nan,1,Left,LeftANDRight,3,1,0,3,0,nan,nan,4,nan
3/7/2025 10:04:00,1.17.0,uncertainty,1,4.04,2,1,Pellet,LeftANDRight,3,1,0,4,0,7.04,473,nan,0
3/7/2025 10:04:47,1.17.0,uncertainty,1,4.04,nan,1,Left,LeftANDRight,4,1,0,4,0,nan,nan,347,nan
3/7/2025 10:05:06,1.17.0,uncertainty,1,4.05,1,1,Pellet,LeftANDRight,4,1,0,5,0,14.46,66,nan,3
3/7/2025 11:49:01,1.17.0,uncertainty,1,4.04,nan,1,Right,LeftANDRight,4,2,0,5,0,nan,nan,25,nan
3/7/2025 11:49:03,1.17.0,uncertainty,1,4.04,1,1,Pellet,LeftANDRight,4,2,0,6,0,0.54,6237,nan,0
3/7/2025 11:49:12,1.17.0,uncertainty,1,4.04,nan,1,Right,LeftANDRight,4,3,0,6,0,nan,nan,96,nan
3/7/2025 11:49:18,1.17.0,uncertainty,1,4.04,nan,1,RightinTimeout,LeftANDRight,4,4,0,6,0,nan,nan,0,nan
