MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/26/2025 9:28:00,1.17.0,baseline,0,4.08,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,933,nan
3/26/2025 9:28:34,1.17.0,baseline,0,4.08,3,1,Pellet,LeftANDRight,0,1,0,1,0,13.81,nan,nan,15
3/26/2025 9:30:57,1.17.0,baseline,0,4.08,nan,1,Right,LeftANDRight,0,2,0,1,0,nan,nan,924,nan
3/26/2025 9:31:16,1.17.0,baseline,0,4.08,2,1,Pellet,LeftANDRight,0,2,0,2,0,0.61,162,nan,15
3/26/2025 9:32:24,1.17.0,baseline,0,4.08,nan,1,Right,LeftANDRight,0,3,0,2,0,nan,nan,215,nan
3/26/2025 9:32:32,1.17.0,baseline,0,4.08,nan,1,LeftinTimeOut,LeftANDRight,1,3,0,2,0,nan,nan,nan,nan
3/26/2025 9:32:32,1.17.0,baseline,0,4.08,nan,1,LeftinTimeOut,LeftANDRight,1,3,0,2,0,nan,nan,nan,nan
3/26/2025 9:33:11,1.17.0,baseline,0,4.08,1,1,Pellet,LeftANDRight,1,3,0,3,0,31.92,115,nan,15
3/26/2025 9:37:13,1.17.0,baseline,0,4.07,nan,1,Left,LeftANDRight,2,3,0,3,0,nan,nan,395,nan
3/26/2025 9:37:30,1.17.0,baseline,0,4.08,1,1,Pellet,LeftANDRight,2,3,0,4,0,1.89,259,nan,15
