MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/14/2025 16:35:33,1.17.0,No-Uncertainty,8,3.60,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,667
2/15/2025 2:17:49,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,1,0,0,0,nan,nan,183
2/15/2025 5:20:54,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,2,0,0,0,nan,nan,121
2/15/2025 5:39:44,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,3,0,0,0,nan,nan,527
2/15/2025 5:39:46,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,4,0,0,0,nan,nan,179
2/15/2025 5:39:49,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,5,0,0,0,nan,nan,245
2/15/2025 5:39:50,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,6,0,0,0,nan,nan,16
2/15/2025 5:39:54,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,7,0,0,0,nan,nan,8
2/15/2025 5:40:01,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,8,0,0,0,nan,nan,25
2/15/2025 5:40:03,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,9,0,0,0,nan,nan,201
2/15/2025 5:40:05,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,10,0,0,0,nan,nan,384
2/15/2025 5:40:06,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,11,0,0,0,nan,nan,459
2/15/2025 5:40:08,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,12,0,0,0,nan,nan,70
2/15/2025 5:40:11,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,13,0,0,0,nan,nan,307
2/15/2025 5:40:16,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,14,0,0,0,nan,nan,1888
2/15/2025 5:40:16,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,15,0,0,0,nan,nan,168
2/15/2025 5:40:19,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,16,0,0,0,nan,nan,419
2/15/2025 5:40:20,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,17,0,0,0,nan,nan,125
2/15/2025 5:40:22,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,18,0,0,0,nan,nan,430
2/15/2025 5:40:25,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,19,0,0,0,nan,nan,403
2/15/2025 5:40:27,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,20,0,0,0,nan,nan,425
2/15/2025 5:40:28,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,21,0,0,0,nan,nan,447
2/15/2025 5:40:32,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,22,0,0,0,nan,nan,1066
2/15/2025 5:40:33,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,1,23,0,0,0,nan,nan,5
2/15/2025 5:40:48,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,1,24,0,0,0,nan,nan,62
2/15/2025 5:40:55,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,2,24,0,0,0,nan,nan,53
2/15/2025 5:40:56,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,3,24,0,0,0,nan,nan,243
2/15/2025 5:40:57,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,4,24,0,0,0,nan,nan,313
2/15/2025 5:41:14,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,25,0,0,0,nan,nan,70
2/15/2025 5:41:15,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,4,26,0,0,0,nan,nan,16
2/15/2025 5:41:17,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,27,0,0,0,nan,nan,476
2/15/2025 5:41:21,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,28,0,0,0,nan,nan,41
2/15/2025 5:41:22,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,29,0,0,0,nan,nan,30
2/15/2025 5:41:24,1.17.0,No-Uncertainty,8,3.58,nan,1,RightWithPellet,LeftANDRight,4,30,0,0,0,nan,nan,22
2/15/2025 5:41:25,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,31,0,0,0,nan,nan,505
2/15/2025 5:41:28,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,32,0,0,0,nan,nan,58
2/15/2025 5:47:33,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,4,33,0,0,0,nan,nan,89
2/15/2025 5:48:59,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,5,33,0,0,0,nan,nan,227
2/15/2025 5:49:01,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,6,33,0,0,0,nan,nan,1256
2/15/2025 5:49:04,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,7,33,0,0,0,nan,nan,127
2/15/2025 5:49:07,1.17.0,No-Uncertainty,8,3.58,nan,1,LeftWithPellet,LeftANDRight,8,33,0,0,0,nan,nan,39
2/15/2025 5:51:28,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,8,34,0,0,0,nan,nan,22
2/15/2025 5:52:03,1.17.0,No-Uncertainty,8,3.58,nan,1,LeftWithPellet,LeftANDRight,9,34,0,0,0,nan,nan,224
2/15/2025 5:53:43,1.17.0,No-Uncertainty,8,3.57,8,1,Pellet,LeftANDRight,9,34,0,1,0,Timed_out,nan,nan
2/15/2025 5:56:33,1.17.0,No-Uncertainty,8,3.58,nan,1,Right,LeftANDRight,9,35,0,1,0,nan,nan,24
2/15/2025 5:56:59,1.17.0,No-Uncertainty,8,3.58,3,1,Pellet,LeftANDRight,9,35,0,2,0,21.64,196,nan
2/15/2025 5:58:01,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,9,36,0,2,0,nan,nan,280
2/15/2025 6:01:34,1.17.0,No-Uncertainty,8,3.57,3,1,Pellet,LeftANDRight,9,36,0,3,0,Timed_out,275,nan
2/15/2025 6:02:14,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,9,37,0,3,0,nan,nan,0
2/15/2025 6:02:14,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,9,38,0,3,0,nan,nan,0
2/15/2025 6:02:34,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,10,38,0,3,0,nan,nan,220
2/15/2025 6:02:34,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,11,38,0,3,0,nan,nan,456
2/15/2025 6:02:37,1.17.0,No-Uncertainty,8,3.57,2,1,Pellet,LeftANDRight,11,38,0,4,0,20.77,63,nan
2/15/2025 6:02:54,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,11,39,0,4,0,nan,nan,28
2/15/2025 6:03:35,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,12,39,0,4,0,nan,nan,227
