MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/10/2083 1:19:34,1.17.0,No-Uncertainty,2,3.80,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,691
1/10/2083 1:19:36,1.17.0,No-Uncertainty,2,3.80,2,1,Pellet,LeftANDRight,1,0,0,1,0,0.06,nan,nan
1/10/2083 1:36:50,1.17.0,No-Uncertainty,2,3.80,nan,1,Left,LeftANDRight,2,0,0,1,0,nan,nan,654
1/10/2083 1:36:56,1.17.0,No-Uncertainty,2,3.80,4,1,Pellet,LeftANDRight,2,0,0,2,0,0.06,1040,nan
1/11/2083 6:13:47,1.17.0,No-Uncertainty,2,3.75,nan,1,Left,LeftANDRight,3,0,0,2,0,nan,nan,548
1/11/2083 6:13:57,1.17.0,No-Uncertainty,2,3.75,2,1,Pellet,LeftANDRight,3,0,0,3,0,5.88,103021,nan
1/11/2083 6:14:02,1.17.0,No-Uncertainty,2,3.74,nan,1,Right,LeftANDRight,3,1,0,3,0,nan,nan,58
1/11/2083 6:14:18,1.17.0,No-Uncertainty,2,3.75,2,1,Pellet,LeftANDRight,3,1,0,4,0,12.21,21,nan
1/11/2083 6:14:22,1.17.0,No-Uncertainty,2,3.74,nan,1,Right,LeftANDRight,3,2,0,4,0,nan,nan,189
1/11/2083 6:14:24,1.17.0,No-Uncertainty,2,3.75,1,1,Pellet,LeftANDRight,3,2,0,5,0,0.06,6,nan
1/12/2083 1:11:37,1.17.0,No-Uncertainty,2,3.72,nan,1,Right,LeftANDRight,3,3,0,5,0,nan,nan,313
1/12/2083 1:12:15,1.17.0,No-Uncertainty,2,3.73,1,1,Pellet,LeftANDRight,3,3,0,6,0,36.55,68271,nan
1/12/2083 1:18:53,1.17.0,No-Uncertainty,2,3.72,nan,1,Left,LeftANDRight,4,3,0,6,0,nan,nan,136
1/12/2083 1:18:55,1.17.0,No-Uncertainty,2,3.72,1,1,Pellet,LeftANDRight,4,3,0,7,0,0.06,400,nan
1/12/2083 1:19:48,1.17.0,No-Uncertainty,2,3.71,nan,1,Right,LeftANDRight,4,4,0,7,0,nan,nan,0
1/12/2083 1:20:04,1.17.0,No-Uncertainty,2,3.72,1,1,Pellet,LeftANDRight,4,4,0,8,0,14.37,69,nan
1/12/2083 4:32:26,1.17.0,No-Uncertainty,2,3.71,nan,1,Right,LeftANDRight,4,5,0,8,0,nan,nan,69
1/12/2083 4:32:33,1.17.0,No-Uncertainty,2,3.71,1,1,Pellet,LeftANDRight,4,5,0,9,0,5.82,11549,nan
