MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
2/25/2025 15:46:08,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,330,nan
2/25/2025 15:46:39,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,1,0,1,0,23.40,nan,nan,7
2/25/2025 15:49:46,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,2,0,1,0,nan,nan,15,nan
2/25/2025 15:49:49,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,2,0,2,0,1.34,190,nan,0
2/25/2025 15:50:25,1.17.0,uncertainty,7,4.05,nan,1,Right,LeftANDRight,0,3,0,2,0,nan,nan,0,nan
2/25/2025 15:50:26,1.17.0,uncertainty,7,4.04,2,1,Pellet,LeftANDRight,0,3,0,3,0,0.06,37,nan,0
2/25/2025 15:53:02,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,4,0,3,0,nan,nan,41,nan
2/25/2025 15:53:04,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,4,0,4,0,1.09,158,nan,0
2/25/2025 15:55:17,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,5,0,4,0,nan,nan,0,nan
2/25/2025 15:55:41,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,5,0,5,0,5.39,157,nan,18
2/25/2025 16:06:40,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,6,0,5,0,nan,nan,158,nan
2/25/2025 16:06:41,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,6,0,6,0,0.36,660,nan,0
2/25/2025 16:07:31,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,7,0,6,0,nan,nan,69,nan
2/25/2025 16:07:34,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,7,0,7,0,0.30,53,nan,2
2/25/2025 16:08:10,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,8,0,7,0,nan,nan,29,nan
2/25/2025 16:09:16,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,8,0,8,0,1.22,102,nan,64
2/25/2025 17:26:39,1.17.0,uncertainty,7,4.03,nan,1,Right,LeftANDRight,0,9,0,8,0,nan,nan,15,nan
2/25/2025 17:26:40,1.17.0,uncertainty,7,4.04,1,1,Pellet,LeftANDRight,0,9,0,9,0,0.24,4644,nan,0
2/25/2025 17:27:26,1.17.0,uncertainty,7,4.03,nan,1,Right,LeftANDRight,0,10,0,9,0,nan,nan,133,nan
2/25/2025 17:27:28,1.17.0,uncertainty,7,4.03,1,1,Pellet,LeftANDRight,0,10,0,10,0,0.36,48,nan,0
2/25/2025 17:28:09,1.17.0,uncertainty,7,4.03,nan,1,Right,LeftANDRight,0,11,0,10,0,nan,nan,155,nan
2/25/2025 17:28:10,1.17.0,uncertainty,7,4.03,1,1,Pellet,LeftANDRight,0,11,0,11,0,0.12,42,nan,0
2/25/2025 18:08:24,1.17.0,uncertainty,7,4.03,nan,1,Right,LeftANDRight,0,12,0,11,0,nan,nan,105,nan
2/25/2025 18:08:26,1.17.0,uncertainty,7,4.03,1,1,Pellet,LeftANDRight,0,12,0,12,0,0.24,2416,nan,0
2/25/2025 18:09:02,1.17.0,uncertainty,7,4.04,nan,1,Right,LeftANDRight,0,13,0,12,0,nan,nan,250,nan
2/25/2025 18:09:03,1.17.0,uncertainty,7,4.03,1,1,Pellet,LeftANDRight,0,13,0,13,0,0.24,37,nan,0
2/25/2025 18:10:16,1.17.0,uncertainty,7,4.03,nan,1,Right,LeftANDRight,0,14,0,13,0,nan,nan,301,nan
2/25/2025 18:10:23,1.17.0,uncertainty,7,4.03,nan,1,RightinTimeout,LeftANDRight,0,15,0,13,0,nan,nan,0,nan
2/25/2025 18:10:24,1.17.0,uncertainty,7,4.03,nan,1,RightinTimeout,LeftANDRight,0,16,0,13,0,nan,nan,0,nan
2/25/2025 18:10:26,1.17.0,uncertainty,7,4.03,nan,1,RightinTimeout,LeftANDRight,0,17,0,13,0,nan,nan,0,nan
2/25/2025 18:10:26,1.17.0,uncertainty,7,4.03,nan,1,RightinTimeout,LeftANDRight,0,17,0,13,0,nan,nan,306,nan
2/25/2025 18:10:30,1.17.0,uncertainty,7,4.03,1,1,Pellet,LeftANDRight,0,17,0,14,0,0.85,87,nan,13
