ID,DATE,t1,t2,t3,t4,BW
9454,4/28/26,185,147,174,196,56
9455,4/28/26,111,179,167,149,39
9456,4/28/26,105,144,133,148,33
9432,4/28/26,175,194,239,151,38
9433,4/28/26,106,141,121,128,40
9437,4/28/26,197,159,205,215,69
9441,4/28/26,159,225,219,161,48
9436,4/28/26,149,158,141,185,36
9438,4/28/26,157,153,154,201,37
9439,4/28/26,163,169,186,155,42
9443,4/28/26,158,180,175,209,37
9449,4/28/26,107,93,143,153,30
9451,4/28/26,111,156,175,151,41
9452,4/28/26,179,141,182,134,42
9444,4/28/26,138,119,140,134,28
9450,4/28/26,184,202,206,176,36
9453,4/28/26,182,184,169,104,39
