MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,IN_SABLE,NEW_FOOD_END_SESSION_G,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL
B00002444017,C57BL/6J,4017,6A,L4,370-F,2/6/24,M,HFD,8.3,0.3,27.93,20.64,24.46,4/3/24,NA,NO,NA,D12451_research_diets_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444018,C57BL/6J,4018,6A,M4,370-F,2/6/24,M,HFD,8.3,0.3,26.56,20.53,22.35,4/3/24,NA,NO,NA,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444019,C57BL/6J,4019,6A,N4,370-F,2/6/24,M,HFD,8.3,0.3,28.51,20.84,24.28,4/3/24,NA,NO,NA,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444020,C57BL/6J,4020,6A,H5,370-F,2/6/24,M,LFD,8.3,0.3,29.09,26.17,21.82,4/3/24,NA,NO,NA,D12450Hi_research_diets_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444021,C57BL/6J,4021,6A,I5,370-F,2/6/24,M,LFD,8.3,0.3,28.38,27.1,23.78,4/3/24,NA,NO,NA,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444022,C57BL/6J,4022,6A,J5,370-F,2/6/24,M,LFD,8.3,0.3,25.58,21.25,24.21,4/3/24,NA,NO,NA,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444017,C57BL/6J,4017,6A,L4,370-F,2/6/24,M,HFD,8.5,0.5,20.64,17.04,NA,4/5/24,FOOD_REPLACEMENT,NO,20.99,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444018,C57BL/6J,4018,6A,M4,370-F,2/6/24,M,HFD,8.5,0.5,20.53,15.85,NA,4/5/24,FOOD_REPLACEMENT,NO,20.54,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444019,C57BL/6J,4019,6A,N4,370-F,2/6/24,M,HFD,8.5,0.5,20.84,15.52,NA,4/5/24,FOOD_REPLACEMENT,NO,19.76,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444020,C57BL/6J,4020,6A,H5,370-F,2/6/24,M,LFD,8.5,0.5,26.17,21.54,NA,4/5/24,FOOD_REPLACEMENT,NO,19.7,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444021,C57BL/6J,4021,6A,I5,370-F,2/6/24,M,LFD,8.5,0.5,27.1,20.72,NA,4/5/24,FOOD_REPLACEMENT,NO,23.67,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444022,C57BL/6J,4022,6A,J5,370-F,2/6/24,M,LFD,8.5,0.5,21.25,14.59,NA,4/5/24,FOOD_REPLACEMENT,NO,26.7,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444017,C57BL/6J,4017,6A,L4,370-F,2/6/24,M,HFD,9,1,20.99,13.25,NA,4/8/24,FOOD_REPLACEMENT,NO,32.92,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444018,C57BL/6J,4018,6A,M4,370-F,2/6/24,M,HFD,9,1,20.54,14.06,NA,4/8/24,FOOD_REPLACEMENT,NO,30.14,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444019,C57BL/6J,4019,6A,N4,370-F,2/6/24,M,HFD,9,1,19.76,12.58,NA,4/8/24,FOOD_REPLACEMENT,NO,30.27,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444020,C57BL/6J,4020,6A,H5,370-F,2/6/24,M,LFD,9,1,19.7,11.54,NA,4/8/24,FOOD_REPLACEMENT,NO,31.77,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444021,C57BL/6J,4021,6A,I5,370-F,2/6/24,M,LFD,9,1,23.67,14.12,NA,4/8/24,FOOD_REPLACEMENT,NO,30.45,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444022,C57BL/6J,4022,6A,J5,370-F,2/6/24,M,LFD,9,1,26.7,17.3,NA,4/8/24,FOOD_REPLACEMENT,NO,31.98,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444017,C57BL/6J,4017,6A,L4,370-F,2/6/24,M,HFD,9.3,1.3,32.92,27.57,24.1,4/10/24,NA,NO,NA,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444018,C57BL/6J,4018,6A,M4,370-F,2/6/24,M,HFD,9.3,1.3,30.14,25.28,23.41,4/10/24,NA,NO,NA,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444019,C57BL/6J,4019,6A,N4,370-F,2/6/24,M,HFD,9.3,1.3,30.27,23.83,25.33,4/10/24,NA,NO,NA,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
B00002444020,C57BL/6J,4020,6A,H5,370-F,2/6/24,M,LFD,9.3,1.3,31.77,26.5,22.14,4/10/24,NA,NO,NA,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444021,C57BL/6J,4021,6A,I5,370-F,2/6/24,M,LFD,9.3,1.3,30.45,24.15,23.66,4/10/24,NA,NO,NA,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444022,C57BL/6J,4022,6A,J5,370-F,2/6/24,M,LFD,9.3,1.3,31.98,26.49,24.5,4/10/24,NA,NO,NA,D12450Hi_research_diets,24030810,JACKSON_LABORATORIES,664,
B00002444017,C57BL/6J,4017,6A,L4,370-F,2/6/24,M,HFD,9.5,1.5,27.57,22.29,NA,4/12/24,FOOD_REPLACEMENT,NO,24.66,D12451_research_diets,24030401i,JACKSON_LABORATORIES,664,
