MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,,,,370-F,,M,CHOW,,,,,,5/6/25,ARRIVAL,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8074,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8075,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8076,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8077,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8078,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
,C57BL6/J,8079,,,370-F,,M,CHOW,,,,,,5/7/25,ANIMAL_SEPARATION,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
