MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,9402,CD1,6A,,370-F,7/13/25,F,HFD,,,,8/4/25,,17.15,NO,D12451i,,,,,,2409-42370A
,9403,CD1,6A,,370-F,7/13/25,M,HFD,,,,8/4/25,,14.32,NO,D12451i,,,,,,2409-42370A
,9405,CD1,6A,,370-F,7/13/25,F,HFD,,,,8/4/25,,14.52,NO,D12451i,,,,,,2409-42370A
,9407,CD1,6A,,370-F,7/13/25,M,HFD,,,,8/4/25,,16.69,NO,D12451i,,,,,,2409-42370A
,9410,CD1,6A,,370-F,7/13/25,M,HFD,,,,8/4/25,,15.65,NO,D12451i,,,,,,2409-42370A
,9411,CD1,6A,,370-F,7/13/25,F,HFD,,,,8/4/25,,15.57,NO,D12451i,,,,,,2409-42370A
,9417,CD1,6A,,370-F,7/13/25,M,HFD,,,,8/4/25,,16.09,NO,D12451i,,,,,,2409-42370A
,9400,CD1,6A,,370-F,7/13/25,M,LFD,,,,8/4/25,,16.33,NO,D12450Hi,,,,,,2409-42370A
,9401,CD1,6A,,370-F,7/13/25,M,LFD,,,,8/4/25,,15.87,NO,D12450Hi,,,,,,2409-42370A
,9404,CD1,6A,,370-F,7/13/25,F,LFD,,,,8/4/25,,16.08,NO,D12450Hi,,,,,,2409-42370A
,9406,CD1,6A,,370-F,7/13/25,F,LFD,,,,8/4/25,,16.97,NO,D12450Hi,,,,,,2409-42370A
,9412,CD1,6A,,370-F,7/13/25,F,LFD,,,,8/4/25,,16.44,NO,D12450Hi,,,,,,2409-42370A
,9414,CD1,6A,,370-F,7/13/25,F,LFD,,,,8/4/25,,15.4,NO,D12450Hi,,,,,,2409-42370A
