MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL
,C57BL/6J,49,,,,,F,CHOW,,,21,10/28/22,,322.1,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,50,,,,,F,CHOW,,,22.6,10/28/22,,299.29,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,,,20.8,10/28/22,,305.61,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,,,21.5,10/28/22,,337.3,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,,,22.5,10/28/22,,349.35,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,,,22.4,10/28/22,,317.83,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,,,22.8,10/28/22,,307.54,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,,,22,10/28/22,,331.89,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,,,20.5,10/28/22,,267.02,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,,,21.3,10/28/22,,284.35,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,,,21.3,10/28/22,,287.89,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,,,23,10/28/22,,258.62,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,,,48.2,10/28/22,,353.74,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,,,49.8,10/28/22,,335.36,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,,,49.3,10/28/22,,310.57,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,,,50.4,10/28/22,,343.17,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,,,56.5,10/28/22,,303.8,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,,,54.5,10/28/22,,347.74,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,,,41.7,10/28/22,,321.44,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,,,51.5,10/28/22,,305.33,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,69,,,,,F,CHOW,,,49.9,10/28/22,,312.91,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,70,,,,,F,CHOW,,,46.2,10/28/22,,312.34,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,71,,,,,F,CHOW,,,54.9,10/28/22,,252.59,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,49,,,,,F,CHOW,322.1,303.05,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,50,,,,,F,CHOW,299.29,279.6,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,305.61,272,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,337.3,303.6,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,349.35,330,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,317.83,300.3,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,307.54,270.4,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,331.89,286.9,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,267.02,248.4,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,284.35,266.5,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,287.89,269.4,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,258.62,238.2,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,353.74,340.4,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,335.36,315.8,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,310.57,294.5,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,343.17,329.7,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,303.8,286.2,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,347.74,333,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,321.44,309.6,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,305.33,281.6,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,69,,,,,F,CHOW,312.91,296.4,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,70,,,,,F,CHOW,312.34,289.6,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,71,,,,,F,CHOW,252.59,233.8,,10/31/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,49,,,,,F,CHOW,303.05,286.1,21.8,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,50,,,,,F,CHOW,279.6,248.51,21.8,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,272,242.59,21.3,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,303.6,284.86,20.8,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,330,303.26,22.6,11/4/22,,273.76,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,300.3,285.86,22.4,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,270.4,241.5,23,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,286.9,257.02,22.7,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,248.4,221.62,20.8,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,266.5,253.77,21.1,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,269.4,247.6,21.7,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,238.2,223.54,22.3,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,340.4,331.6,50.4,11/4/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
