MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,IN_SABLE,NEW_FOOD_END_SESSION_G,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_VENDOR,BASAL_GLU_mg_dL
B00002513716,NZO/HlLtJ,3716,3A,H4,370-F,9/24/24,F,CHOW,6.3,,311.21,,16.56,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513717,NZO/HlLtJ,3717,3A,I4,370-F,9/24/24,F,CHOW,6.3,,276.22,,29.52,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513718,NZO/HlLtJ,3718,3A,J4,370-F,9/24/24,F,CHOW,6.3,,346.6,,29.86,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513719,NZO/HlLtJ,3719,3A,K4,370-F,9/24/24,F,CHOW,6.3,,301.13,,29.79,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513720,NZO/HlLtJ,3720,3A,L4,370-F,9/24/24,F,CHOW,6.3,,338.87,,27.39,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513721,NZO/HlLtJ,3721,3A,H5,370-F,9/24/24,F,CHOW,6.3,,357.83,,30.52,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513722,NZO/HlLtJ,3722,3A,I5,370-F,9/24/24,F,CHOW,6.3,,304.13,,29.88,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513723,NZO/HlLtJ,3723,3A,J5,370-F,9/24/24,F,CHOW,6.3,,277.25,,31.45,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513724,NZO/HlLtJ,3724,3A,K5,370-F,9/24/24,F,CHOW,6.3,,267.78,,27.13,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
B00002513725,NZO/HlLtJ,3725,3A,L5,370-F,9/24/24,F,CHOW,6.3,,271.3,,28.66,11/8/24,,NO,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,
