Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
1,9445.1N,Habituation,NORT pod 1,7/2/26,13:32:48,0 - 300 secs.,,,,300,7.606,86.5,213.5,,,,
1,9445.1N,Habituation,NORT pod 1,7/2/26,13:32:48,300 - 600 secs.,,,,300,7.934,64.3,235.7,,,,
2,9445.2L,Habituation,NORT pod 2,7/2/26,13:32:48,0 - 300 secs.,,,,300,7.018,14.5,285.5,,,,
2,9445.2L,Habituation,NORT pod 2,7/2/26,13:32:48,300 - 600 secs.,,,,300,7.424,13.8,286.2,,,,
3,9431.1N,Habituation,NORT pod 3,7/2/26,13:32:48,0 - 300 secs.,,,,300,7.31,25.8,274.2,,,,
3,9431.1N,Habituation,NORT pod 3,7/2/26,13:32:48,300 - 600 secs.,,,,300,7.543,35.7,264.3,,,,
4,9431.2L,Habituation,NORT Pod 4,7/2/26,13:32:48,0 - 300 secs.,,,,300,13.618,19.8,280.2,,,,
4,9431.2L,Habituation,NORT Pod 4,7/2/26,13:32:48,300 - 600 secs.,,,,300,11.212,23.8,276.2,,,,
5,9431.3R,Habituation,NORT Pod 5,7/2/26,13:32:48,0 - 300 secs.,,,,300,9.406,49.6,250.4,,,,
5,9431.3R,Habituation,NORT Pod 5,7/2/26,13:32:48,300 - 600 secs.,,,,300,6.766,31.2,268.8,,,,
6,9440.1N,Habituation,NORT pod 1,7/2/26,13:54:26,0 - 300 secs.,,,,300,10.881,42.2,257.8,,,,
6,9440.1N,Habituation,NORT pod 1,7/2/26,13:54:26,300 - 600 secs.,,,,300,9.379,35.8,264.2,,,,
7,9440.2L,Habituation,NORT pod 2,7/2/26,13:54:26,0 - 300 secs.,,,,300,7.864,1.3,298.7,,,,
7,9440.2L,Habituation,NORT pod 2,7/2/26,13:54:26,300 - 600 secs.,,,,300,10.388,26.3,273.6,,,,
8,9447.1N,Habituation,NORT pod 3,7/2/26,13:54:26,0 - 300 secs.,,,,300,8.244,40.6,259.4,,,,
8,9447.1N,Habituation,NORT pod 3,7/2/26,13:54:26,300 - 600 secs.,,,,300,5.661,25.7,274.3,,,,
9,9447.2L,Habituation,NORT Pod 4,7/2/26,13:54:26,0 - 300 secs.,,,,300,7.165,19.2,280.8,,,,
9,9447.2L,Habituation,NORT Pod 4,7/2/26,13:54:26,300 - 600 secs.,,,,300,5.004,25.9,274.1,,,,
10,9445.1N,Familiarization,NORT pod 1,7/3/26,13:14:22,0 - 300 secs.,Back left,,Front right,300,8.165,36.4,263.6,12.2,76.8,,24.5
10,9445.1N,Familiarization,NORT pod 1,7/3/26,13:14:22,300 - 600 secs.,Back left,,Front right,300,8.03,63.3,236.7,46.3,77,,32.2
11,9445.2L,Familiarization,NORT pod 2,7/3/26,13:14:22,0 - 300 secs.,Back left,,Front right,300,8.982,18.3,281.7,26.7,108.3,,11.7
11,9445.2L,Familiarization,NORT pod 2,7/3/26,13:14:22,300 - 600 secs.,Back left,,Front right,300,7.091,5.6,294.4,24.7,123.8,,8.3
12,9431.1N,Familiarization,NORT pod 3,7/3/26,13:14:22,0 - 300 secs.,Back left,,Front right,300,7.307,24.3,275.7,48.9,137.4,,12.3
12,9431.1N,Familiarization,NORT pod 3,7/3/26,13:14:22,300 - 600 secs.,Back left,,Front right,300,6.584,26.2,273.8,51.8,107.7,,32.9
13,9431.2L,Familiarization,NORT Pod 4,7/3/26,13:14:22,0 - 300 secs.,Back left,,Front right,300,11.319,16.5,283.5,37.4,80.9,,21.5
13,9431.2L,Familiarization,NORT Pod 4,7/3/26,13:14:22,300 - 600 secs.,Back left,,Front right,300,8.425,30,270,39.9,80,,11.8
14,9431.3R,Familiarization,NORT Pod 5,7/3/26,13:14:22,0 - 300 secs.,Back left,,Front right,300,16.478,24.8,275.2,19.6,68.1,,36.5
14,9431.3R,Familiarization,NORT Pod 5,7/3/26,13:14:22,300 - 600 secs.,Back left,,Front right,300,13.67,36.4,263.6,40.1,81.9,,35.4
15,9440.1N,Familiarization,NORT pod 1,7/3/26,13:34:21,0 - 300 secs.,Back left,,Front right,300,7.335,30.3,269.7,38.1,94.2,,36.8
15,9440.1N,Familiarization,NORT pod 1,7/3/26,13:34:21,300 - 600 secs.,Back left,,Front right,300,8.497,31.1,268.9,20.3,84.4,,50.3
16,9440.2L,Familiarization,NORT pod 2,7/3/26,13:34:21,0 - 300 secs.,Back left,,Front right,300,7.581,11.5,288.5,17.3,93.3,,17.1
16,9440.2L,Familiarization,NORT pod 2,7/3/26,13:34:21,300 - 600 secs.,Back left,,Front right,300,11.945,49.7,250.3,34.1,90.8,,22.4
17,9447.1N,Familiarization,NORT pod 3,7/3/26,13:34:21,0 - 300 secs.,Back left,,Front right,300,8.902,15.5,284.5,23.5,81.2,,21.4
17,9447.1N,Familiarization,NORT pod 3,7/3/26,13:34:21,300 - 600 secs.,Back left,,Front right,300,8.029,35.4,264.5,25.4,88.6,,38.4
18,9447.2L,Familiarization,NORT Pod 4,7/3/26,13:34:21,0 - 300 secs.,Back left,,Front right,300,6.515,20.6,279.4,8.8,65.4,,25.2
18,9447.2L,Familiarization,NORT Pod 4,7/3/26,13:34:21,300 - 600 secs.,Back left,,Front right,300,7.716,47.8,252.2,20.5,54.4,,27.2
19,9445.1N,Recognition,NORT pod 1,7/3/26,14:14:54,0 - 300 secs.,Back left,Front right,,300,7.535,56,244,18.6,71.1,44.7,
19,9445.1N,Recognition,NORT pod 1,7/3/26,14:14:54,300 - 600 secs.,Back left,Front right,,300,5.424,9.9,290.1,19.9,73.2,17.5,
20,9445.2L,Recognition,NORT pod 2,7/3/26,14:14:54,0 - 300 secs.,Back left,Front right,,300,8.102,17,283,26.4,104.2,60.4,
20,9445.2L,Recognition,NORT pod 2,7/3/26,14:14:54,300 - 600 secs.,Back left,Front right,,300,7.427,23.3,276.7,36.9,82.6,36.6,
21,9431.1N,Recognition,NORT pod 3,7/3/26,14:14:54,0 - 300 secs.,Back left,Front right,,300,6.647,21.8,278.2,34.8,82.3,19.4,
21,9431.1N,Recognition,NORT pod 3,7/3/26,14:14:54,300 - 600 secs.,Back left,Front right,,300,6.433,45.2,254.8,62.9,112,27.4,
22,9431.2L,Recognition,NORT Pod 4,7/3/26,14:14:54,0 - 300 secs.,Back left,Front right,,300,16.699,31.1,268.9,29.7,87.8,39.8,
22,9431.2L,Recognition,NORT Pod 4,7/3/26,14:14:54,300 - 600 secs.,Back left,Front right,,300,12.903,31.7,268.3,21.8,84.4,25.2,
23,9431.3R,Recognition,NORT Pod 5,7/3/26,14:14:54,0 - 300 secs.,Back left,Front right,,300,9.459,30,270,52.7,124,24.1,
23,9431.3R,Recognition,NORT Pod 5,7/3/26,14:14:54,300 - 600 secs.,Back left,Front right,,300,6.906,26,274,73.4,109.1,9.3,
24,9440.1N,Recognition,NORT pod 1,7/3/26,14:36:02,0 - 300 secs.,Back left,Front right,,300,7.596,17.2,282.8,16,76.7,32.9,
24,9440.1N,Recognition,NORT pod 1,7/3/26,14:36:02,300 - 600 secs.,Back left,Front right,,300,7.715,42,258,35.3,77.3,39,
25,9440.2L,Recognition,NORT pod 2,7/3/26,14:36:02,0 - 300 secs.,Back left,Front right,,300,11.172,34.1,265.9,23.2,84.3,42.5,
25,9440.2L,Recognition,NORT pod 2,7/3/26,14:36:02,300 - 600 secs.,Back left,Front right,,300,7.814,44.4,255.6,8,82.3,54.9,
26,9447.1N,Recognition,NORT pod 3,7/3/26,14:36:02,0 - 300 secs.,Back left,Front right,,300,5.598,22.8,277.1,7.1,92.7,70.9,
26,9447.1N,Recognition,NORT pod 3,7/3/26,14:36:02,300 - 600 secs.,Back left,Front right,,300,6.072,53.9,246.1,20.2,71.1,33.6,
27,9447.2L,Recognition,NORT Pod 4,7/3/26,14:36:02,0 - 300 secs.,Back left,Front right,,300,4.721,26.9,273.1,33.1,99.4,12.3,
27,9447.2L,Recognition,NORT Pod 4,7/3/26,14:36:02,300 - 600 secs.,Back left,Front right,,300,5.281,68.7,231.3,38.4,66.8,28.3,
