Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
1,1,Habituation,NORT pod 1,7/15/2025,14:48,0 - 300 secs.,,,,300.0,29.447,47.5,246.1,,,,
1,1,Habituation,NORT pod 1,7/15/2025,14:48,300 - 600 secs.,,,,300.0,21.941,49.5,248.2,,,,
2,2,Habituation,NORT pod 2,7/15/2025,14:48,0 - 300 secs.,,,,300.0,15.385,24.4,270.5,,,,
2,2,Habituation,NORT pod 2,7/15/2025,14:48,300 - 600 secs.,,,,300.0,12.255,24.5,274.7,,,,
3,3,Habituation,NORT pod 3,7/15/2025,14:48,0 - 300 secs.,,,,300.0,28.300,32.2,256.7,,,,
3,3,Habituation,NORT pod 3,7/15/2025,14:48,300 - 600 secs.,,,,300.0,17.039,24.3,268.8,,,,
4,4,Habituation,NORT Pod 4,7/15/2025,14:48,0 - 300 secs.,,,,300.0,16.483,34.9,262.0,,,,
4,4,Habituation,NORT Pod 4,7/15/2025,14:48,300 - 600 secs.,,,,300.0,11.673,27.9,272.1,,,,
5,5,Habituation,NORT pod 1,7/15/2025,15:07,0 - 300 secs.,,,,300.0,15.289,57.2,239.7,,,,
5,5,Habituation,NORT pod 1,7/15/2025,15:07,300 - 600 secs.,,,,300.0,13.755,54.7,245.1,,,,
6,6,Habituation,NORT pod 2,7/15/2025,15:07,0 - 300 secs.,,,,300.0,32.344,57.8,225.7,,,,
6,6,Habituation,NORT pod 2,7/15/2025,15:07,300 - 600 secs.,,,,300.0,22.672,48.0,238.9,,,,
7,7,Habituation,NORT pod 3,7/15/2025,15:07,0 - 300 secs.,,,,300.0,23.187,21.6,268.4,,,,
7,7,Habituation,NORT pod 3,7/15/2025,15:07,300 - 600 secs.,,,,300.0,16.864,23.2,275.4,,,,
8,8,Habituation,NORT Pod 4,7/15/2025,15:07,0 - 300 secs.,,,,300.0,21.509,73.2,222.0,,,,
8,8,Habituation,NORT Pod 4,7/15/2025,15:07,300 - 600 secs.,,,,300.0,13.352,62.8,236.5,,,,
9,9,Habituation,NORT pod 1,7/15/2025,15:37,0 - 300 secs.,,,,300.0,11.080,18.6,278.0,,,,
