Oxymax Feeding Events CSV File 

CSV FILE CREATION:8/5/2026 1:03:21 PM
DATA FILENAME:C:\Users\Physio\Documents\2026-07-06Liu.BDTA

GROUP/CAGE:0107
SUBJECT ID:E090
SUBJECT MASS:35.51 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 12 ,010701,7/6/2026,7/6/2026 11:05:20 AM ,7/6/2026 11:05:24 AM , 4 ,0.05,0.05,g,
 2 , 14 ,010701,7/6/2026,7/6/2026 11:26:12 AM ,7/6/2026 11:26:44 AM , 32 ,0.03,0.08,g,
 3 , 15 ,010701,7/6/2026,7/6/2026 11:34:58 AM ,7/6/2026 11:39:44 AM , 286 ,0.04,0.12,g,
 4 , 20 ,010701,7/6/2026,7/6/2026 12:27:20 PM ,7/6/2026 12:28:09 PM , 49 ,0.04,0.15,g,
 5 , 21 ,010701,7/6/2026,7/6/2026 12:30:54 PM ,7/6/2026 12:35:12 PM , 258 ,0.03,0.19,g,
 6 , 22 ,010701,7/6/2026,7/6/2026 12:44:27 PM ,7/6/2026 12:44:39 PM , 12 ,0.03,0.22,g,
 7 , 25 ,010701,7/6/2026,7/6/2026 1:23:46 PM ,7/6/2026 1:23:54 PM , 8 ,0.06,0.28,g,
 8 , 27 ,010701,7/6/2026,7/6/2026 1:36:54 PM ,7/6/2026 1:36:58 PM , 4 ,0.05,0.33,g,
 9 , 28 ,010701,7/6/2026,7/6/2026 1:45:37 PM ,7/6/2026 1:51:54 PM , 377 ,0.03,0.36,g,
 10 , 32 ,010701,7/6/2026,7/6/2026 2:28:55 PM ,7/6/2026 2:28:59 PM , 4 ,0.07,0.43,g,
 11 , 34 ,010701,7/6/2026,7/6/2026 2:53:20 PM ,7/6/2026 2:58:29 PM , 309 ,0.07,0.50,g,
 12 , 40 ,010701,7/6/2026,7/6/2026 3:46:19 PM ,7/6/2026 3:52:14 PM , 355 ,0.09,0.59,g,
 13 , 41 ,010701,7/6/2026,7/6/2026 4:04:14 PM ,7/6/2026 4:07:28 PM , 194 ,0.04,0.63,g,
 14 , 45 ,010701,7/6/2026,7/6/2026 4:43:05 PM ,7/6/2026 4:43:17 PM , 12 ,0.06,0.69,g,
 15 , 48 ,010701,7/6/2026,7/6/2026 5:18:45 PM ,7/6/2026 5:19:01 PM , 16 ,0.05,0.74,g,
 16 , 53 ,010701,7/6/2026,7/6/2026 6:08:10 PM ,7/6/2026 6:08:18 PM , 8 ,0.08,0.82,g,
 17 , 57 ,010701,7/6/2026,7/6/2026 6:50:23 PM ,7/6/2026 6:53:16 PM , 173 ,0.08,0.91,g,
 18 , 59 ,010701,7/6/2026,7/6/2026 7:04:31 PM ,7/6/2026 7:09:54 PM , 323 ,0.07,0.98,g,
 19 , 59 ,010701,7/6/2026,7/6/2026 7:12:31 PM ,7/6/2026 7:14:05 PM , 94 ,0.04,1.02,g,
 20 , 62 ,010701,7/6/2026,7/6/2026 7:44:07 PM ,7/6/2026 7:48:29 PM , 262 ,0.03,1.05,g,
 21 , 65 ,010701,7/6/2026,7/6/2026 8:06:53 PM ,7/6/2026 8:12:15 PM , 322 ,0.05,1.11,g,
 22 , 68 ,010701,7/6/2026,7/6/2026 8:47:31 PM ,7/6/2026 8:52:45 PM , 314 ,0.04,1.15,g,
 23 , 70 ,010701,7/6/2026,7/6/2026 9:02:21 PM ,7/6/2026 9:04:26 PM , 125 ,0.04,1.18,g,
 24 , 72 ,010701,7/6/2026,7/6/2026 9:13:49 PM ,7/6/2026 9:25:23 PM , 694 ,0.06,1.24,g,
 25 , 72 ,010701,7/6/2026,7/6/2026 9:27:16 PM ,7/6/2026 9:28:41 PM , 85 ,0.07,1.31,g,
 26 , 73 ,010701,7/6/2026,7/6/2026 9:34:55 PM ,7/6/2026 9:41:50 PM , 415 ,0.10,1.41,g,
 27 , 75 ,010701,7/6/2026,7/6/2026 9:56:56 PM ,7/6/2026 10:04:59 PM , 483 ,0.13,1.54,g,
 28 , 77 ,010701,7/6/2026,7/6/2026 10:17:37 PM ,7/6/2026 10:17:57 PM , 20 ,0.03,1.58,g,
 29 , 78 ,010701,7/6/2026,7/6/2026 10:33:47 PM ,7/6/2026 10:34:19 PM , 32 ,0.03,1.61,g,
 30 , 80 ,010701,7/6/2026,7/6/2026 10:50:53 PM ,7/6/2026 10:51:38 PM , 45 ,0.07,1.68,g,
 31 , 83 ,010701,7/6/2026,7/6/2026 11:23:11 PM ,7/6/2026 11:23:19 PM , 8 ,0.05,1.73,g,
 32 , 85 ,010701,7/6/2026,7/6/2026 11:37:26 PM ,7/6/2026 11:42:32 PM , 306 ,0.04,1.77,g,
 33 , 86 ,010701,7/6/2026,7/6/2026 11:50:32 PM ,7/6/2026 11:57:39 PM , 427 ,0.16,1.93,g,
 34 , 88 ,010701,7/7/2026,7/7/2026 12:06:14 AM ,7/7/2026 12:11:25 AM , 311 ,0.04,1.97,g,
 35 , 88 ,010701,7/7/2026,7/7/2026 12:16:23 AM ,7/7/2026 12:18:24 AM , 121 ,0.03,2.00,g,
 36 , 91 ,010701,7/7/2026,7/7/2026 12:49:07 AM ,7/7/2026 12:49:19 AM , 12 ,0.07,2.08,g,
 37 , 92 ,010701,7/7/2026,7/7/2026 12:56:18 AM ,7/7/2026 1:02:44 AM , 386 ,0.08,2.16,g,
 38 , 93 ,010701,7/7/2026,7/7/2026 1:04:41 AM ,7/7/2026 1:07:54 AM , 193 ,0.07,2.22,g,
 39 , 93 ,010701,7/7/2026,7/7/2026 1:08:43 AM ,7/7/2026 1:09:03 AM , 20 ,0.40,2.62,g,
 40 , 100 ,010701,7/7/2026,7/7/2026 2:21:30 AM ,7/7/2026 2:21:46 AM , 16 ,0.03,2.66,g,
 41 , 102 ,010701,7/7/2026,7/7/2026 2:40:03 AM ,7/7/2026 2:44:16 AM , 253 ,0.06,2.72,g,
 42 , 105 ,010701,7/7/2026,7/7/2026 3:12:35 AM ,7/7/2026 3:16:11 AM , 216 ,0.05,2.77,g,
 43 , 107 ,010701,7/7/2026,7/7/2026 3:21:46 AM ,7/7/2026 3:32:34 AM , 648 ,0.12,2.89,g,
 44 , 108 ,010701,7/7/2026,7/7/2026 3:42:42 AM ,7/7/2026 3:42:54 AM , 12 ,0.03,2.92,g,
 45 , 110 ,010701,7/7/2026,7/7/2026 3:56:58 AM ,7/7/2026 4:01:48 AM , 290 ,0.11,3.03,g,
 46 , 111 ,010701,7/7/2026,7/7/2026 4:15:54 AM ,7/7/2026 4:16:35 AM , 41 ,0.04,3.07,g,
 47 , 114 ,010701,7/7/2026,7/7/2026 4:42:20 AM ,7/7/2026 4:42:44 AM , 24 ,0.07,3.14,g,
 48 , 118 ,010701,7/7/2026,7/7/2026 5:18:24 AM ,7/7/2026 5:23:21 AM , 297 ,0.06,3.20,g,
 49 , 118 ,010701,7/7/2026,7/7/2026 5:30:40 AM ,7/7/2026 5:30:56 AM , 16 ,0.03,3.23,g,
 50 , 121 ,010701,7/7/2026,7/7/2026 5:52:57 AM ,7/7/2026 5:56:18 AM , 201 ,0.03,3.26,g,
 51 , 124 ,010701,7/7/2026,7/7/2026 6:35:50 AM ,7/7/2026 6:35:58 AM , 8 ,0.03,3.29,g,
 52 , 131 ,010701,7/7/2026,7/7/2026 7:39:17 AM ,7/7/2026 7:39:48 AM , 31 ,0.06,3.35,g,
 53 , 131 ,010701,7/7/2026,7/7/2026 7:40:05 AM ,7/7/2026 7:44:45 AM , 280 ,0.05,3.40,g,
 54 , 135 ,010701,7/7/2026,7/7/2026 8:18:10 AM ,7/7/2026 8:24:42 AM , 392 ,0.05,3.45,g,
 55 , 136 ,010701,7/7/2026,7/7/2026 8:39:32 AM ,7/7/2026 8:40:08 AM , 36 ,0.03,3.48,g,
 56 , 142 ,010701,7/7/2026,7/7/2026 9:33:35 AM ,7/7/2026 9:34:03 AM , 28 ,0.03,3.52,g,
