"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","340019.0625","629798.625","629836.0625","976486.5","838654.3125","3218124.25","1237009.625","538807","1000962.625","338784.75","551534.25","623717.1875","1357581.5","594528.875","1036929.5","1168"
"2(1,B1)","Standard2","251447.42188","303734.6875","265360.78125","772332.0625","371984.6875","2984352","872360.375","494811.0625","536578.4375","292811.5625","350887.28125","448369.125","839655.125","253516.21875","721900.5625","1061"
"3(1,C1)","Standard3","161635.23438","246651.26562","80170.375","288266.4375","125175.10938","1513547.75","547904.625","230826.26562","164270.875","205008.96875","130562.45312","299787.96875","491151.21875","96826.40625","243388.78125","1075"
"4(1,D1)","Standard4","50903.125","71977.54688","26860.07617","57801.25781","42380.73438","356725.21875","208983.3125","93183.34375","32129.93164","76256.89844","31431.74609","52802.48047","143901.25","34534.66016","80409.74219","1158"
"5(1,E1)","Standard5","12699.58008","12835.44434","9458.23535","14787.82617","15857.6377","37960.46484","55366.02344","26827.33984","8200.33691","25368.29492","14180.85254","9350.18945","74643.5","10801.26367","16383.8916","1018"
"6(1,F1)","Standard6","4605.14355","5252.15869","5956.94189","7833.04248","6653.4624","6874.91406","10435.67773","11281.33594","3786.23901","9720.37207","10591.3125","6190.44482","38445.99219","7436.51367","4743.62402","1002"
"7(1,G1)","Standard7","3538.86963","3326.18091","4896.97217","6088.66064","4071.99219","4022.50122","3391.5542","6201.56689","2855.48657","5418.2583","9685.12695","4951.75244","22037.70508","5150.01709","3204.40454","1264"
"8(1,H1)","Background0","3394.85645","2994.94653","3629.51733","5520.2998","2563.19336","3567.99658","2492.30908","3892.84082","2757.49097","3416.43579","9586.07324","4654.54883","14755.31836","4598.96777","2752.47314","1152"
"9(1,A2)","Standard1","353128.53125","889951.125","609122.1875","920350","878204.5","2610917.75","1119492.75","566631.625","960567.625","369380.46875","559704.375","495545.90625","1370906.25","733283.8125","1042102.375","1126"
"10(1,B2)","Standard2","274249.3125","483889.0625","248834.96875","657570.4375","362536.375","2403402.75","902034.6875","536182.25","563579.125","337922.3125","385516","604270.8125","935291","272385.21875","612139.875","1103"
