Animal #,ID,Trial 1 (g),2 (g),3 (g),4 (g),Average,date,Ratio (grip srength avg/ weight),Fatigue Score,% Fatigue
1,9432,123,159,97,88,116.75,6/29/26,2.65,0.66,34.4
2,9433,124,113,124,124,121.25,6/29/26,2.33,1.05,-4.64
3,9437,226,199,194,119,184.5,6/29/26,2.37,0.74,26.35
4,9441,140,173,171,148,158,6/29/26,2.63,1.02,-1.92
5,9449,103,165,95,146,127.25,6/29/26,4.1,0.9,10.07
6,9451,167,223,61,107,139.5,6/29/26,2.85,0.43,56.92
7,9452,199,138,99,141,144.25,6/29/26,3.14,0.71,28.78
8,9454,151,165,140,132,147,6/29/26,2.26,0.86,13.92
9,9455,114,101,100,120,108.75,6/29/26,2.59,1.02,-2.33
10,9436,136,152,203,219,177.5,6/29/26,4.55,1.47,-46.53
11,9438,180,177,156,163,169,6/29/26,3.52,0.89,10.64
12,9439,155,181,128,187,162.75,6/29/26,3.39,0.94,6.25
13,9443,123,186,164,176,162.25,6/29/26,4.39,1.1,-10.03
14,9444,108,114,136,169,131.75,6/29/26,4.25,1.37,-37.39
15,9450,175,167,174,112,157,6/29/26,3.74,0.84,16.37
16,9453,136,103,192,136,141.75,6/29/26,3.08,1.37,-37.24
17,9456,126,100,130,99,113.75,6/29/26,3.16,1.01,-1.33
