ID,DATE,LENGTH_CM
9454,2/23/26,10.4
9455,2/23/26,9.3
9456,2/23/26,9.6
9432,2/23/26,9.5
9433,2/23/26,9.2
9437,2/23/26,10.1
9441,2/23/26,9.8
9436,2/23/26,9.6
9438,2/23/26,9.1
9439,2/23/26,9.4
9443,2/23/26,10.1
9449,2/23/26,8.6
9451,2/23/26,9.7
9452,2/23/26,9.6
9444,2/23/26,8.7
9450,2/23/26,9.2
9453,2/23/26,9.7
9454,4/29/26,10.7
9455,4/29/26,10.2
9456,4/29/26,9.9
9432,4/29/26,10
9433,4/29/26,10.1
9437,4/29/26,10.8
9441,4/29/26,10.2
9436,4/29/26,9.9
9438,4/29/26,10.2
9439,4/29/26,10.1
9443,4/29/26,9.5
9449,4/29/26,9.3
9451,4/29/26,10.5
9452,4/29/26,9.6
9444,4/29/26,9.7
9450,4/29/26,9.5
9453,4/29/26,10.2
