Oxymax Body Weight CSV File 

CSV FILE CREATION:8/5/2026 1:03:22 PM
DATA FILENAME:C:\Users\Physio\Documents\2026-07-06Liu.WDTA

GROUP/CAGE:0107
SUBJECT ID:E090
SUBJECT MASS:35.51 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,TIME,WEIGHT,DIFFERENCE,ACCUM DIFF,
#,#,#,,grams,grams,grams,
===============,===============,===============,===============,===============,===============,===============,
0, 1 ,0107,06-Jul-26 07:18:02,358.9,0.0,0.0,
0, 4 ,0107,06-Jul-26 09:45:06,30.6,0.0,0.0,
1, 79 ,0107,06-Jul-26 22:37:53,31.9,1.3,1.3,
2, 80 ,0107,06-Jul-26 22:53:10,34.2,2.3,3.7,
3, 80 ,0107,06-Jul-26 22:56:08,34.0,-0.3,3.4,
4, 105 ,0107,07-Jul-26 03:17:00,34.7,0.7,4.1,
5, 107 ,0107,07-Jul-26 03:36:59,25.7,-9.0,-4.9,
6, 112 ,0107,07-Jul-26 04:22:57,34.9,9.2,4.4,
7, 114 ,0107,07-Jul-26 04:42:56,35.0,0.0,4.4,
8, 114 ,0107,07-Jul-26 04:43:29,32.5,-2.5,2.0,
9, 114 ,0107,07-Jul-26 04:50:53,31.7,-0.8,1.1,
10, 117 ,0107,07-Jul-26 05:18:11,34.7,2.9,4.1,
11, 231 ,0107,08-Jul-26 01:03:52,34.5,-0.2,3.9,
12, 240 ,0107,08-Jul-26 02:38:01,34.5,0.1,3.9,
13, 240 ,0107,08-Jul-26 02:38:34,35.2,0.7,4.6,
14, 240 ,0107,08-Jul-26 02:42:08,33.8,-1.4,3.3,
15, 292 ,0107,08-Jul-26 11:40:29,34.6,0.7,4.0,
16, 379 ,0107,09-Jul-26 02:50:44,33.2,-1.4,2.6,
17, 381 ,0107,09-Jul-26 03:03:00,34.3,1.1,3.8,
18, 381 ,0107,09-Jul-26 03:05:09,34.3,0.0,3.8,
19, 390 ,0107,09-Jul-26 04:37:45,34.6,0.3,4.0,
20, 521 ,0107,10-Jul-26 03:21:58,35.0,0.4,4.4,
