z,y,x
309.01627,34.275597,247.40434
260.9456,33.59949,329.59973
279.75452,35.044952,211.40251
276.38266,33.85254,323.5523
330.21274,35.39021,212.02777
186.62218,34.10339,302.1062
294.31015,34.08403,304.64078
304.03143,33.816055,305.8545
292.96423,34.11902,306.12524
258.64648,33.71977,311.60312
264.56396,33.941944,316.99387
261.4026,33.456596,334.01248
194.01057,39.55815,-22.365988
278.00507,35.09383,209.42316
248.53938,34.761368,256.95178
240.63994,34.573185,273.09384
239.88892,34.59263,277.70828
238.94876,34.544487,279.1303
271.6645,34.003525,296.49017
278.69498,34.02375,297.34436
279.10443,34.027256,299.9005
289.5362,34.04822,301.5688
295.24323,33.919483,302.0525
288.27817,34.017918,302.41666
297.1947,33.944763,304.08417
283.8353,33.94392,303.88608
262.98154,33.89343,305.0662
300.04077,33.907627,305.8666
289.41077,34.07337,308.5453
297.28192,34.116917,309.4853
298.6081,34.078777,310.0196
307.16827,33.77016,310.0617
308.09055,33.685364,311.4649
305.19962,33.899372,311.87476
306.24713,33.789623,312.95673
264.95377,33.961094,315.81833
295.57968,34.140354,316.28296
273.05603,33.977764,316.34488
296.78363,34.119858,316.29596
266.72552,33.95796,317.96143
257.05136,33.44216,327.9706
259.63528,33.521225,329.9103
258.48087,33.38663,331.8921
286.33664,32.975674,345.88202
284.23386,33.003365,346.776
199.85,39.510994,-20.475304
258.043,38.190186,50.61037
3.500595,38.733795,61.02271
233.51663,37.024666,128.9614
311.9864,36.489277,148.6887
350.0658,34.646603,248.86696
267.78714,34.44798,263.79352
200.63608,34.5253,271.65164
238.22993,34.421562,282.23822
238.86977,34.407726,283.50363
265.42203,34.006145,290.70847
278.44022,33.937927,291.50592
264.84036,33.989887,292.51288
269.04538,33.992382,293.2286
277.383,33.972626,293.4264
268.965,33.99388,294.0732
269.0947,33.993702,294.91794
260.4737,33.894257,295.2347
284.73553,33.93536,296.68716
285.8218,33.931538,296.8881
281.06497,33.98534,296.924
280.21887,34.00113,297.45535
285.83228,33.945168,297.7501
289.8409,34.01692,300.27957
278.027,34.053032,300.2198
279.8851,34.00762,300.64078
287.6107,34.00834,301.3695
285.05038,33.95206,301.48062
287.07715,33.995804,301.37164
287.9364,34.015125,301.5778
294.06943,33.99748,302.49457
282.74557,33.943626,303.04837
305.71173,33.697308,303.22537
304.2558,33.70112,302.9981
281.3555,33.966434,303.26416
259.3413,33.784576,303.35715
291.3162,34.07505,304.31583
281.4884,33.96697,304.417
303.9899,33.765083,304.57883
299.5924,33.88829,305.01755
287.2836,33.980274,304.94055
292.00027,34.10036,305.80173
300.82153,33.90875,306.60736
304.1712,33.856026,306.92984
265.8711,33.99291,306.85562
305.872,33.80283,306.91513
283.60522,33.9809,307.5693
295.94925,34.13541,307.5948
300.07864,33.972763,307.67365
286.29413,34.008327,307.89215
235.63591,33.856377,308.08472
306.915,33.781044,308.434
295.24112,34.153183,308.95694
306.27448,33.83276,310.17166
306.8918,33.758144,312.21344
295.2441,34.158203,312.7625
293.85306,34.17372,312.87473
290.26297,34.121483,313.2973
303.1484,33.98873,313.87268
294.5223,34.171467,313.93405
289.97528,34.105927,314.35294
264.8111,33.964115,314.5416
294.3361,34.171234,314.8886
302.7541,33.96986,315.3568
303.55774,33.89726,315.89114
289.38885,34.062534,316.05698
260.4128,33.747482,316.56284
305.1056,33.64703,317.89307
305.00977,33.612587,318.5181
291.16537,34.025936,319.3505
295.27554,34.044167,319.58264
296.1624,33.997345,320.01416
289.9065,33.962467,320.09323
11.877861,34.47341,320.19934
307.11322,33.41416,320.54388
293.60272,33.979954,321.18115
305.04764,33.42472,322.12927
290.1051,33.843952,322.63922
295.83817,33.779854,323.1363
290.56424,33.814846,323.17963
259.06738,33.612366,324.4318
290.00595,33.663605,324.77246
265.1723,33.84808,324.77332
262.861,33.784134,325.40164
292.79944,33.52511,326.70227
287.95737,33.485504,327.07614
295.35645,33.423813,328.52277
256.12183,33.29226,330.70862
259.89337,33.489616,331.17908
257.05563,33.29052,332.3961
259.07767,33.37379,333.46884
259.46884,33.336754,335.57776
256.83554,33.189228,336.72104
234.05045,33.097065,337.64804
233.56873,33.04967,338.55725
2.6382732,34.199043,341.63174
236.71143,33.015656,341.2898
263.0939,33.2089,342.37418
1.2110615,34.166325,343.8455
271.93015,33.177746,345.10208
283.212,33.03643,345.7069
287.2331,32.93787,347.27133
168.30222,33.158794,348.92642
229.97377,34.277035,355.13046
44.204426,32.830498,419.3712
132.00998,39.6586,-17.867382
21.912699,39.77273,-5.9346533
152.38313,39.289436,1.2940311
118.44736,39.1916,13.13914
184.23651,38.93811,17.385303
220.32863,38.540653,35.579937
270.67096,38.221996,46.484795
136.20895,38.491493,53.06959
213.63708,38.106033,63.41691
244.07416,38.01274,63.909805
-20.875229,38.715813,66.32541
222.91093,37.881084,76.67529
208.41432,37.879234,79.65112
215.98486,37.84024,81.43121
247.69289,37.63092,89.01275
133.57669,37.8734,91.850334
120.397644,36.4827,177.13237
119.057045,36.480515,177.53294
81.00594,35.91226,221.90506
290.6449,34.545193,234.65202
249.10239,34.754158,257.58072
312.42987,34.032238,259.72754
271.44794,34.553722,261.6614
247.6487,34.81181,261.99756
26.036062,35.408413,262.11734
244.57797,34.805893,263.83316
242.27911,34.733997,264.55783
241.49765,34.68735,266.02753
189.34998,34.54516,266.83154
275.47623,34.352634,272.82187
287.34326,34.227787,274.64188
287.03223,34.241817,275.1721
15.131893,35.203533,277.52448
289.73438,34.18514,279.1147
291.9362,34.121178,279.82956
269.98294,34.022144,284.72476
271.1521,34.006866,284.8201
181.97581,34.345375,285.23474
238.96478,34.293633,286.9514
265.36575,34.020805,288.6905
264.24194,34.001392,290.39288
264.68106,34.002357,290.71124
264.4923,33.993595,291.56134
166.542,34.063576,292.0995
282.06274,33.89912,292.86505
284.1538,33.897503,294.2323
271.19656,33.989952,294.70398
286.00797,33.88494,294.7464
282.5311,33.931747,294.77994
283.9463,33.91406,294.8738
278.8875,34.014034,296.60034
283.75873,33.942707,296.58994
174.7731,34.15694,297.646
290.79276,33.94786,298.96353
271.3234,34.046978,299.13544
290.15582,33.979366,299.40628
291.4424,33.955914,299.60486
211.77841,33.99532,299.8608
286.4095,33.97989,300.21136
285.87433,33.97073,300.21426
289.30942,34.037815,300.82748
285.57346,33.96517,301.061
