z,y,x
19.05435,28.1865,10.62251
218.35313,32.016552,133.55414
158.36,35.542538,0.121673346
178.44704,35.398903,22.718815
83.27201,26.364595,114.422874
442.3438,43.706894,121.20315
213.70296,31.47044,138.82378
221.60999,30.172157,188.9966
205.06366,28.569891,194.3824
262.6194,25.882198,256.06396
275.7661,26.704893,282.66153
287.97998,26.397804,302.21808
291.48947,25.903902,313.15833
153.09732,35.657032,-7.337551
40.39694,29.600887,3.260007
189.21912,36.55646,10.120009
180.69221,35.559505,21.707783
245.48038,36.628216,65.18982
87.65457,26.90651,108.22353
368.36945,37.86085,166.32211
181.39246,27.06376,207.4071
202.28313,23.967638,262.71866
274.21753,26.779556,279.6516
191.23376,22.364054,284.18066
284.77704,27.074308,284.572
284.04593,26.704735,290.93497
285.1055,26.649569,294.0584
279.14557,26.109486,296.7479
268.5118,25.281773,296.81885
292.35434,26.86246,297.5081
284.4689,26.379738,297.81433
287.05716,26.464485,299.70023
292.8334,26.745596,300.1764
283.96432,26.243958,300.55786
284.3926,26.251123,301.17645
284.0685,26.149025,302.90002
285.87262,26.140026,304.66446
284.2597,25.890045,306.659
286.92233,25.988335,307.2672
271.86453,24.882288,307.19412
279.9311,25.147493,314.80502
286.3712,25.347918,318.43884
179.58995,17.963346,336.78183
432.0662,31.516,355.584
151.25,35.612595,-8.2615385
182.65749,36.342773,7.9558525
244.54433,36.553135,66.00593
246.53079,34.541077,110.28987
189.7734,28.724718,170.68622
220.62709,30.859034,172.5928
282.86987,27.611135,243.26758
363.4845,32.811295,259.8561
199.49416,23.534607,268.32678
271.95258,26.659616,278.5379
275.57062,26.763596,281.48245
207.29578,23.145079,283.6625
266.0849,25.466017,289.38046
270.31354,25.765648,290.33987
286.88715,26.78238,293.52026
293.66068,27.112007,294.1388
266.59186,25.273975,294.75476
267.4635,25.172318,297.42105
286.50983,26.484474,298.43408
287.53494,26.525692,298.83206
285.11514,26.04916,305.3018
287.97714,26.178589,305.6097
274.3483,25.13586,306.59705
297.44583,26.454144,310.3743
272.33087,24.535007,315.15247
279.30823,25.07565,315.43167
269.4519,24.28526,315.89178
284.52185,25.270214,317.47864
302.97174,26.311531,318.53333
286.60977,24.46352,334.32434
282.11636,24.082865,336.22495
448.82492,31.678871,366.46964
459.4692,29.206745,427.26508
149.1926,35.603706,-10.103561
151.13863,35.683514,-9.7907295
117.076065,33.91237,-7.7742577
125.27138,33.37099,11.110564
176.23676,34.944744,29.64128
125.2943,32.31324,32.30982
394.59402,43.976143,64.08073
392.35672,43.796696,65.913445
62.561874,25.972317,98.24665
161.91986,30.480001,109.506874
173.75764,29.931925,130.30772
334.17892,36.569805,155.32843
215.75423,30.347942,169.27597
203.89136,29.062748,175.25122
256.9586,32.09455,196.13655
210.77032,28.91134,197.80775
191.44777,26.016201,216.57779
233.40782,31.738285,219.53566
287.97498,28.630743,219.77596
