ID,Fat,Lean,Weight,Date,SEX,COHORT,STRAIN,AIM,DIET_FORMULA,adiposity_index,n_measurement
2307,7.65,22.49,29.34,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.34015117830146735,1
2308,8.89,24.42,32.71,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.36404586404586403,1
2309,9.05,22.97,31.74,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.3939921636917719,1
2310,12.71,24.53,36.95,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.5181410517733388,1
2311,17.65,23.71,40.51,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.7444116406579502,1
2312,16.8,24.31,40.07,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.6910736322501029,1
2313,16.63,22.61,38.2,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.735515258735073,1
2314,10.3,24.78,34.27,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.4156577885391445,1
2315,18.89,24.4,42.02,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.7741803278688525,1
2316,21.89,24.15,45.39,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.9064182194616978,1
2317,9.5,21.48,29.42,2025-01-09,F,7,C57BL6/J,FISETIN,D12451i,0.44227188081936686,1
2318,10.97,22.98,33.13,2025-01-09,F,7,C57BL6/J,FISETIN,D12450Hi,0.4773716275021758,1
2319,13.94,31.56,45.6,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.4416983523447402,1
2320,4.62,30.02,34.07,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.15389740173217856,1
2321,19.59,35.73,55.4,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.5482787573467675,1
2322,24.69,35.07,59.95,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.7040205303678357,1
2323,8.58,33.37,41.02,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.25711717111177707,1
2324,17.61,29.78,46.66,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.5913364674278039,1
2325,18.39,32.45,50.28,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.5667180277349768,1
2326,14.01,32.85,46.33,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.42648401826484017,1
2327,7.33,33.28,40.12,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.22025240384615383,1
2328,6.94,33.33,39.8,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.20822082208220824,1
2329,4.08,31.55,35.06,2025-01-09,M,7,C57BL6/J,FISETIN,D12450Hi,0.12931854199683043,1
2330,8.27,31.61,39.24,2025-01-09,M,7,C57BL6/J,FISETIN,D12451i,0.2616260677000949,1
3706,13.96,24.3,38.39,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.574485596707819,3
3707,23.39,27.16,50.3,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8611929307805597,3
3708,21.93,25.72,47.66,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8526438569206843,3
3709,20.76,25.05,45.68,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8287425149700599,3
3710,25.58,26.31,51.93,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.9722538958570885,3
3711,24.15,24.27,48.05,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.9950556242274412,3
3712,22.57,28.83,51.15,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.7828650711064864,3
3713,17.66,26.07,43.39,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.6774069812044495,3
3714,20.23,26.29,46.09,2025-01-15,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.7694941042221377,3
3716,17.53,23.93,41.29,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.7325532804011702,3
3717,15.71,26.41,41.78,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.5948504354411208,3
3718,21.37,24.76,45.69,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.8630856219709209,3
3719,20.17,24.21,43.98,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.8331268071045023,3
3720,11.41,22.97,34.08,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.49673487157161517,3
3721,16.05,25.88,41.99,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.6201700154559506,3
3722,14.54,26.56,40.58,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.5474397590361446,2
3723,20.03,24.83,44.69,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.806685461135723,3
3724,19.61,24.1,43.19,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.8136929460580912,2
3725,20.27,22.02,41.42,2025-01-15,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.9205267938237965,2
3726,19.11,24.05,42.8,2025-01-15,F,5,NZO/HlLtJ,EEGAP,D12450Ki,0.7945945945945946,3
3727,16.75,25.39,41.86,2025-01-15,F,5,NZO/HlLtJ,EEGAP,D12450Ki,0.659708546671918,2
3728,19.13,24.54,43.05,2025-01-15,F,5,NZO/HlLtJ,EEGAP,D12450Ki,0.7795436022819886,2
3729,21.71,25.79,47.3,2025-01-15,F,5,NZO/HlLtJ,EEGAP,D12450Ki,0.8417991469561846,2
3706,14.37,25.17,39.75,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.570917759237187,4
3707,23.43,28.22,51.88,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8302622253720766,4
3709,20.99,25.69,46.51,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8170494355780459,4
3711,22.88,24.71,47.03,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.9259409146094698,4
3712,23.59,28.69,52.14,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8222377134890205,4
3713,18.78,26.33,44.67,2025-01-27,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.7132548423851122,4
3716,17.97,24.01,41.87,2025-01-27,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.7484381507705122,4
3717,15.89,26.16,41.4,2025-01-27,F,4,NZO/HlLtJ,EEGAP,D12450Ki,0.6074159021406728,4
3708,22.47,26.66,48.73,2025-01-29,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.8428357089272318,4
3710,25.95,26.42,51.94,2025-01-29,F,3,NZO/HlLtJ,EEGAP,D12450Ki,0.9822104466313398,4
