ID,BW,DATE
3993,17.5,2024-04-01
3993,16.48,2024-04-03
3993,17.38,2024-04-10
3993,18.2,2024-04-17
3993,17.7,2024-04-24
3993,18.08,2024-05-01
3993,18.76,2024-05-08
3993,18.93,2024-05-15
3993,19.42,2024-05-22
3993,19.7,2024-05-29
3993,19.08,2024-06-05
3993,20.33,2024-06-12
3993,19.45,2024-06-19
3993,19.67,2024-06-26
3993,19.8,2024-07-02
3993,19.3,2024-07-03
3993,20.25,2024-07-10
3993,20.6,2024-07-17
3993,21.3,2024-07-24
3993,20.2,2024-07-31
3993,20,2024-08-07
3993,20.9,2024-08-14
3993,20.9,2024-08-21
3993,20.4,2024-08-28
3993,20.2,2024-09-04
3993,21.2,2024-09-11
3993,21.7,2024-09-18
3993,21.5,2024-09-25
3993,20.96,2024-10-02
3993,22.97,2024-10-09
3993,21.93,2024-10-16
3994,17.3,2024-04-01
3994,18.31,2024-04-03
3994,18.5,2024-04-10
3994,19.78,2024-04-17
3994,20.48,2024-04-24
3994,20.64,2024-05-01
3994,20.6,2024-05-08
3994,21.38,2024-05-15
3994,20.3,2024-05-22
3994,20.8,2024-05-29
3994,21.81,2024-06-05
3994,21.02,2024-06-12
3994,21.46,2024-06-19
3994,21.08,2024-06-26
3994,21.5,2024-07-02
3994,21.05,2024-07-03
3994,22.2,2024-07-10
3994,22,2024-07-17
3994,22.46,2024-07-24
3994,22.93,2024-07-31
3994,23.1,2024-08-07
3994,22.9,2024-08-14
3994,23.1,2024-08-21
3994,23.1,2024-08-28
3994,23.6,2024-09-04
3994,23.6,2024-09-11
3994,23.9,2024-09-18
3994,24.1,2024-09-25
3994,23.68,2024-10-02
3994,24.74,2024-10-09
3994,25.44,2024-10-16
3995,17.2,2024-04-01
3995,17.32,2024-04-03
3995,17.21,2024-04-10
3995,18.2,2024-04-17
3995,18.83,2024-04-24
3995,19.58,2024-05-01
3995,19.76,2024-05-08
3995,20.76,2024-05-15
3995,20.8,2024-05-22
3995,22,2024-05-29
3995,22.04,2024-06-05
3995,21,2024-06-12
3995,21.33,2024-06-19
3995,21.68,2024-06-26
3995,21.6,2024-07-02
3995,21,2024-07-03
3995,22.07,2024-07-10
3995,21.01,2024-07-17
3995,21.09,2024-07-24
3995,21.24,2024-07-31
3995,21.8,2024-08-07
3995,21.3,2024-08-14
3995,21,2024-08-21
3995,21.3,2024-08-28
3995,21.9,2024-09-04
3995,22.3,2024-09-11
3995,22.4,2024-09-18
3995,22.3,2024-09-25
3995,21.72,2024-10-02
3995,22.52,2024-10-09
3995,22.38,2024-10-16
3996,16.4,2024-04-01
3996,16.58,2024-04-03
3996,17.74,2024-04-10
3996,17.78,2024-04-17
3996,18.3,2024-04-24
3996,18.61,2024-05-01
3996,18.76,2024-05-08
3996,21.1,2024-05-15
3996,20.12,2024-05-22
3996,20.16,2024-05-29
3996,20.65,2024-06-05
3996,19.96,2024-06-12
3996,19.68,2024-06-19
3996,20.53,2024-06-26
3996,20.1,2024-07-02
3996,20.28,2024-07-03
3996,20.96,2024-07-10
3996,21.09,2024-07-17
3996,21.77,2024-07-24
3996,21.96,2024-07-31
3996,20.6,2024-08-07
3996,21,2024-08-14
3996,21.2,2024-08-21
3996,20.8,2024-08-28
3996,20.8,2024-09-04
3996,20.6,2024-09-11
3996,21.1,2024-09-18
3996,20.9,2024-09-25
3996,21.95,2024-10-02
3996,20.87,2024-10-09
3996,21.63,2024-10-16
3997,18.1,2024-04-01
3997,18.72,2024-04-03
3997,18.61,2024-04-10
3997,19.22,2024-04-17
3997,19.55,2024-04-24
3997,20.98,2024-05-01
3997,21.23,2024-05-08
3997,21.35,2024-05-15
3997,21.51,2024-05-22
3997,21.92,2024-05-29
3997,22.73,2024-06-05
3997,22.2,2024-06-12
3997,21.99,2024-06-19
3997,22.96,2024-06-26
3997,23.2,2024-07-02
3997,23.13,2024-07-03
3997,23.74,2024-07-10
3997,23.13,2024-07-17
3997,23.66,2024-07-24
3997,22.61,2024-07-31
3997,23.1,2024-08-07
3997,23.8,2024-08-14
3997,22.8,2024-08-21
3997,22.9,2024-08-28
3997,23.8,2024-09-04
3997,24.3,2024-09-11
3997,24.7,2024-09-18
3997,25.9,2024-09-25
3997,26.16,2024-10-02
3997,26.21,2024-10-09
3997,26.86,2024-10-16
3998,18.3,2024-04-01
3998,18.4,2024-04-03
3998,18.53,2024-04-10
3998,18.27,2024-04-17
3998,18.97,2024-04-24
3998,20.55,2024-05-01
3998,20.61,2024-05-08
3998,20.62,2024-05-15
3998,20.9,2024-05-22
3998,21.74,2024-05-29
3998,21.64,2024-06-05
3998,21.86,2024-06-12
3998,22.51,2024-06-19
3998,22.33,2024-06-26
3998,23.1,2024-07-02
3998,22.46,2024-07-03
3998,22.52,2024-07-10
3998,22.69,2024-07-17
3998,22.36,2024-07-24
3998,22.97,2024-07-31
3998,22.5,2024-08-07
3998,23,2024-08-14
3998,24,2024-08-21
3998,22.8,2024-08-28
3998,23.1,2024-09-04
3998,24.1,2024-09-11
3998,23.9,2024-09-18
3998,23.7,2024-09-25
3998,24.11,2024-10-02
3998,25.34,2024-10-09
3998,24.67,2024-10-16
3999,19.8,2024-04-01
3999,19.74,2024-04-03
3999,19.87,2024-04-10
3999,19.56,2024-04-17
3999,19.95,2024-04-24
3999,21.55,2024-05-01
3999,22.11,2024-05-08
3999,23.45,2024-05-15
3999,22.53,2024-05-22
