MICE_ID_RAR_GROUPED,MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO,COMMENT_THREE,DATE_EUTHANASIA
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,8.3,0.3,27.93,20.64,3.6,17.2,24.46,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,8.3,0.3,26.56,20.53,3,14.3,22.35,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,8.3,0.3,28.51,20.84,3.8,18.1,24.28,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,8.3,0.3,29.09,26.17,1.5,5.6,21.82,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,8.3,0.3,28.38,27.1,0.6,2.4,23.78,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,8.3,0.3,25.58,21.25,2.2,8.3,24.21,4/3/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,8.5,0.5,20.64,17.04,1.8,8.5,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,20.99,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,8.5,0.5,20.53,15.85,2.3,11.1,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,20.54,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,8.5,0.5,20.84,15.52,2.7,12.6,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,19.76,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,8.5,0.5,26.17,21.54,2.3,8.8,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,19.7,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,8.5,0.5,27.1,20.72,3.2,12.2,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,23.67,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,8.5,0.5,21.25,14.59,3.3,12.7,NA,4/5/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,26.7,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,9,1,20.99,13.25,2.6,12.2,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,32.92,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,9,1,20.54,14.06,2.2,10.2,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,30.14,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,9,1,19.76,12.58,2.4,11.3,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,30.27,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,9,1,19.7,11.54,2.7,10.4,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,31.77,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,9,1,23.67,14.12,3.2,12.2,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,30.45,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,9,1,26.7,17.3,3.1,12,NA,4/8/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,31.98,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,9.3,1.3,32.92,27.57,2.7,12.7,24.1,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,9.3,1.3,30.14,25.28,2.4,11.5,23.41,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,9.3,1.3,30.27,23.83,3.2,15.2,25.33,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,9.3,1.3,31.77,26.5,2.6,10.1,22.14,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,9.3,1.3,30.45,24.15,3.2,12,23.66,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,9.3,1.3,31.98,26.49,2.7,10.5,24.5,4/10/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,9.5,1.5,27.57,22.29,2.6,12.5,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,24.66,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,9.5,1.5,25.28,20.96,2.2,10.2,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,32.09,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,9.5,1.5,23.83,18.18,2.8,13.4,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,27.48,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,9.5,1.5,26.5,21.3,2.6,9.9,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,26.55,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,9.5,1.5,24.15,17.42,3.4,12.9,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,24.4,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,9.5,1.5,26.49,19.81,3.3,12.8,NA,4/12/24,CLARITY,FOOD_REPLACEMENT,NA,NA,NA,NA,28.6,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,10,2,24.66,16.91,2.6,12.2,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,21.17,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,10,2,32.09,25.8,2.1,9.9,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,24.72,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,10,2,27.48,19.68,2.6,12.3,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,25.94,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,10,2,26.55,18.84,2.6,9.8,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,30.69,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,10,2,24.4,15.36,3,11.5,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,24.89,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444022,4022,6A,J5,1,2/6/24,M,LFD,10,2,28.6,20.94,2.6,9.8,NA,4/15/24,CLARITY,FOOD_REPLACEMENT_AND_CAGE_REPLACEMENT,NA,NA,NA,NA,27.19,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352002,B00002444017,4017,6A,L4,1,2/6/24,M,HFD,10.3,2.3,21.17,15.67,2.8,13,25.2,4/17/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352002,B00002444018,4018,6A,M4,1,2/6/24,M,HFD,10.3,2.3,24.72,19.68,2.5,11.9,24.05,4/17/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444019,4019,6A,N4,1,2/6/24,M,HFD,10.3,2.3,25.94,20.8,2.6,12.2,25.62,4/17/24,CLARITY,NA,NA,NA,NA,NA,NA,D12451i,24030401/2.5kgi,,,8/30/24
2421352001,B00002444020,4020,6A,H5,1,2/6/24,M,LFD,10.3,2.3,30.69,27.28,1.7,6.5,22.4,4/17/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
2421352001,B00002444021,4021,6A,I5,1,2/6/24,M,LFD,10.3,2.3,24.89,23.65,0.6,2.4,24.02,4/17/24,CLARITY,NA,NA,NA,NA,NA,NA,D12450Hi,24030810/2.5kgi ,,,8/30/24
