ID,DIET,DIET_CODE,KCAL_PER_GR,SEX,LOC,COHORT,STRAIN,COMMENTS
4017,HFD,D12451i,4.73,M,,1,,
4018,HFD,D12451i,4.73,M,,1,,
4019,HFD,D12451i,4.73,M,,1,,
4020,LFD,D12450Hi,3.82,M,,1,,
4021,LFD,D12450Hi,3.82,M,,1,,
4022,LFD,D12450Hi,3.82,M,,1,,
7858,HFD,D12451i,4.73,M,,1,,
7859,LFD,D12450Hi,3.82,M,,1,,
7858,HFD,D12451i,4.73,M,,1,,
7859,LFD,D12450Hi,3.82,M,,1,,
3993,HFD,D12451i,4.73,F,,1,,
3994,HFD,D12451i,4.73,F,,1,,
3995,HFD,D12451i,4.73,F,,1,,
3996,HFD,D12451i,4.73,F,,1,,
3997,HFD,D12451i,4.73,F,,1,,
3998,HFD,D12451i,4.73,F,,1,,
3999,HFD,D12451i,4.73,F,,1,,
4000,HFD,D12451i,4.73,F,,1,,
4001,LFD,D12450Hi,3.82,F,,1,,
4002,LFD,D12450Hi,3.82,F,,1,,
4003,LFD,D12450Hi,3.82,F,,1,,
4004,LFD,D12450Hi,3.82,F,,1,,
4005,HFD,D12451i,4.73,M,,1,,
4006,HFD,D12451i,4.73,M,,1,,
4007,HFD,D12451i,4.73,M,,1,,
4008,HFD,D12451i,4.73,M,,1,,
4009,HFD,D12451i,4.73,M,,1,,
4010,HFD,D12451i,4.73,M,,1,,
4011,HFD,D12451i,4.73,M,,1,,
4012,HFD,D12451i,4.73,M,,1,,
4013,LFD,D12450Hi,3.82,M,,1,,
4014,LFD,D12450Hi,3.82,M,,1,,
4015,LFD,D12450Hi,3.82,M,,1,,
4016,LFD,D12450Hi,3.82,M,,1,,
7876,HFD,D12451i,4.73,F,,2,,
7872,HFD,D12451i,4.73,F,,2,,
7880,LFD,D12450Ki,3.82,F,,2,,
7881,LFD,D12450Ki,3.82,F,,2,,
7877,HFD,D12451i,4.73,F,,2,,
7878,HFD,D12451i,4.73,F,,2,,
7873,HFD,D12451i,4.73,F,,2,,
7874,HFD,D12451i,4.73,F,,2,,
7882,LFD,D12450Ki,3.82,F,,2,,
7883,LFD,D12450Ki,3.82,F,,2,,
7875,HFD,D12451i,4.73,F,,2,,
7879,HFD,D12451i,4.73,F,,2,,
7864,HFD,D12451i,4.73,M,,2,,
7865,HFD,D12451i,4.73,M,,2,,
7860,HFD,D12451i,4.73,M,,2,,
7861,HFD,D12451i,4.73,M,,2,,
7866,HFD,D12451i,4.73,M,,2,,
7868,LFD,D12450Ki,3.82,M,,2,,
7869,LFD,D12450Ki,3.82,M,,2,,
7870,LFD,D12450Ki,3.82,M,,2,,
7862,HFD,D12451i,4.73,M,,2,,
7867,HFD,D12451i,4.73,M,,2,,
7863,HFD,D12451i,4.73,M,,2,,
7871,LFD,D12450Ki,3.82,M,,2,,
