ID,STRAIN,SEX,DATE,COMMENTS,DIET_FORMULA,GROUP,n_measurement,delta_measurement,highlight,BODY_WEIGHT_G_peak obesity,BODY_WEIGHT_G_BW maintenance,BODY_WEIGHT_G_BW loss,FASTED_GLU_mg_dL_peak obesity,FASTED_GLU_mg_dL_BW maintenance,FASTED_GLU_mg_dL_BW loss
3706,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,35.12,NA,NA,158,NA,NA
3706,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,40.14,NA,NA,167,NA
3707,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,42.63,NA,NA,159,NA,NA
3707,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,51.85,NA,NA,213,NA
3708,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,44.44,NA,NA,173,NA,NA
3708,NZO/HlLtJ,F,2025-04-01,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,47,Restricted Increase,NA,NA,38.17,NA,NA,176.5
3709,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,40.73,NA,NA,129,NA,NA
3709,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,47.13,NA,NA,168,NA
3710,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,47.96,NA,NA,249,NA,NA
3710,NZO/HlLtJ,F,2025-04-09,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Other,NA,NA,43.78,NA,NA,188.6666667
3711,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,42.73,NA,NA,144,NA,NA
3711,NZO/HlLtJ,F,2025-03-06,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,23,Ad lib Decrease,NA,40.86,NA,NA,143.5,NA
3713,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,38.92,NA,NA,155,NA,NA
3713,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,47.59,NA,NA,219.3333333,NA
3714,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,44.86,NA,NA,203.5,NA,NA
3714,NZO/HlLtJ,F,2025-04-09,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Other,NA,NA,40.45,NA,NA,124.5
3716,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,37.53,NA,NA,70,NA,NA
3716,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,44.12,NA,NA,150.5,NA
3717,NZO/HlLtJ,F,2025-02-11,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,36.88,NA,NA,91,NA,NA
3717,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,NA,43.76,NA,NA,177.6666667,NA
3718,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,37.86,NA,NA,163,NA,NA
3718,NZO/HlLtJ,F,2025-03-06,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,21,Ad lib Decrease,NA,39.27,NA,NA,99.5,NA
3719,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,1,NA,Other,40.64,NA,NA,186,NA,NA
3719,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,40,Ad lib Decrease,NA,45.42,NA,NA,136.5,NA
3720,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,32.12,NA,NA,82.5,NA,NA
3720,NZO/HlLtJ,F,2025-04-09,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Restricted Increase,NA,NA,30,NA,NA,179.3333333
3721,NZO/HlLtJ,F,2025-02-13,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,37.14,NA,NA,135.5,NA,NA
3721,NZO/HlLtJ,F,2025-04-09,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Restricted Increase,NA,NA,34.5,NA,NA,204
3722,NZO/HlLtJ,F,2025-02-18,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,37.96,NA,NA,148.5,NA,NA
3722,NZO/HlLtJ,F,2025-04-01,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,42,Restricted Increase,NA,NA,32.06,NA,NA,176.6666667
3723,NZO/HlLtJ,F,2025-02-18,GLUCOSE_MEASUREMENT,D12450Ki,restricted,1,NA,Other,42.18,NA,NA,172.5,NA,NA
3723,NZO/HlLtJ,F,2025-03-25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Other,NA,NA,35.85,NA,NA,148
