ID,STRAIN,SEX,DATE,COMMENTS,DIET_FORMULA,GROUP,n_measurement,delta_measurement,highlight,BODY_WEIGHT_G_peak obesity,BODY_WEIGHT_G_BW maintenance,BODY_WEIGHT_G_BW loss,FASTED_GLU_mg_dL_peak obesity,FASTED_GLU_mg_dL_BW maintenance,FASTED_GLU_mg_dL_BW loss
3706,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,35.12,40.14,,158,167,
3707,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,42.63,51.85,,159,213,
3708,NZO/HlLtJ,F,4/1/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,47,Restricted Increase,44.44,,38.17,173,,176.5
3709,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,40.73,47.13,,129,168,
3710,NZO/HlLtJ,F,4/9/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Other,47.96,,43.78,249,,188.6666667
3711,NZO/HlLtJ,F,3/6/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,23,Ad lib Decrease,42.73,40.86,,144,143.5,
3713,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,38.92,47.59,,155,219.3333333,
3714,NZO/HlLtJ,F,4/9/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Other,44.86,,40.45,203.5,,124.5
3716,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,37.53,44.12,,70,150.5,
3717,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,42,Other,36.88,43.76,,91,177.6666667,
3718,NZO/HlLtJ,F,3/6/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,21,Ad lib Decrease,37.86,39.27,,163,99.5,
3719,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,40,Ad lib Decrease,40.64,45.42,,186,136.5,
3720,NZO/HlLtJ,F,4/9/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Restricted Increase,32.12,,30,82.5,,179.3333333
3721,NZO/HlLtJ,F,4/9/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,55,Restricted Increase,37.14,,34.5,135.5,,204
3722,NZO/HlLtJ,F,4/1/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,42,Restricted Increase,37.96,,32.06,148.5,,176.6666667
3723,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Other,42.18,,35.85,172.5,,148
3724,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Other,38.73,,34.48,181.5,,146.5
3725,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Restricted Increase,38.59,,32.01,85,,107.6666667
3726,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,ad lib,2,40,Other,42.23,49.5,,169,169.6666667,
3728,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Restricted Increase,41.25,,35.65,95.66666667,,169.5
3729,NZO/HlLtJ,F,3/25/25,GLUCOSE_MEASUREMENT,D12450Ki,restricted,2,35,Restricted Increase,43.39,,38.05,114.5,,128
