Subject,BW,5/18/26 11:00,5/18/26 12:00,5/18/26 13:00,5/18/26 14:00,5/18/26 15:00,5/18/26 16:00,5/18/26 17:00,5/18/26 18:00,5/18/26 19:00,5/18/26 20:00,5/18/26 21:00,5/18/26 22:00,5/18/26 23:00,5/19/26 0:00,5/19/26 1:00,5/19/26 2:00,5/19/26 3:00,5/19/26 4:00,5/19/26 5:00,5/19/26 6:00,5/19/26 7:00,5/19/26 8:00,5/19/26 9:00,5/19/26 10:00,5/19/26 11:00,5/19/26 12:00,5/19/26 13:00,5/19/26 14:00,5/19/26 15:00,5/19/26 16:00,5/19/26 17:00,5/19/26 18:00,5/19/26 19:00,5/19/26 20:00,5/19/26 21:00,5/19/26 22:00,5/19/26 23:00,5/20/26 0:00,5/20/26 1:00,5/20/26 2:00,5/20/26 3:00,5/20/26 4:00,5/20/26 5:00,5/20/26 6:00,5/20/26 7:00,5/20/26 8:00,5/20/26 9:00,5/20/26 10:00,5/20/26 11:00,5/20/26 12:00,5/20/26 13:00
9432,39.56,0.877016267,0.896514463,0.88458565,0.84101825,0.900082975,0.880343438,0.88499615,0.851058322,0.8740029,0.864976513,0.852002988,0.86522305,0.892163625,0.8780646,0.898330133,0.894858063,0.899536963,0.887512588,0.85886795,0.859778763,0.872156025,0.892081475,0.869216678,0.8652754,0.873604825,0.864465125,0.890973988,0.815242513,0.8491263,0.858109522,0.858923625,0.886732263,0.871534138,0.917489625,0.90690725,0.931337438,0.912987275,0.904051678,0.916619613,0.920267938,0.86856345,0.83914025,0.845701663,0.825180025,0.886193813,0.842934022,0.769199,0.783411438,0.7570375,,
9433,41.24,0.869329133,0.883242613,0.826324413,0.824641163,0.920759625,0.890241613,0.894202538,0.856231611,0.915928675,0.875323675,0.843980563,0.9144408,0.859426988,0.827269725,0.901920175,0.914438278,0.887429363,0.8945733,0.838338638,0.831717613,0.820326225,0.813532913,0.803301211,0.780429238,0.839500775,0.8461454,0.843022263,0.921394813,0.939978288,0.936579713,0.940075789,0.94838695,0.958557375,0.95689715,0.9405481,0.941498313,0.952868038,0.937714056,0.951976325,0.9441097,0.931243538,0.918147575,0.90698955,0.919186125,0.924623213,0.8828672,0.886276613,0.909286075,0.906020525,,
9437,73.31,0.8078539,0.831395775,0.837913775,0.7720119,0.791737063,0.7910525,0.799261638,0.790523556,0.808165013,0.809972088,0.8118643,0.80480265,0.790302013,0.795257838,0.78470645,0.800814378,0.792116625,0.792958375,0.800774175,0.825959763,0.823014175,0.784011825,0.802551275,0.800062144,0.789218075,0.81864045,0.807181013,0.79375475,0.792973125,0.77587405,0.793296622,0.842458975,0.831342738,0.826418313,0.819790088,0.799612925,0.791490313,0.799913063,0.812171856,0.788195613,0.797853175,0.78519195,0.813491413,0.803529388,0.8384067,0.803732567,0.808910525,0.810025125,0.789811963,,
9441,51.71,0.8481792,0.8739441,0.837621975,0.830744075,0.854026338,0.87276645,0.8443665,0.870343575,0.845973078,0.81367115,0.82469065,0.86016625,0.836307925,0.850185388,0.859505213,0.8378114,0.852450488,0.84445315,0.819451325,0.833536038,0.83597715,0.831031588,0.851108775,0.8258045,0.810141663,0.8130375,0.85352625,0.851247788,0.868384688,0.87261035,0.858216188,0.867999556,0.852653225,0.842762625,0.831484238,0.8571935,0.846510688,0.844970263,0.813165011,0.846399488,0.838808975,0.8372819,0.826431463,0.858204213,0.839895475,0.8068566,0.813621189,0.794334838,0.819475588,,
9449,39.59,0.81324005,0.870954978,0.840744938,0.8554671,0.865782238,0.90061425,0.918331688,0.928465438,0.901870578,0.862246263,0.859752938,0.884380713,0.8953161,0.879241925,0.880928063,0.881276113,0.839161033,0.8581044,0.858964075,0.837181088,0.888756113,0.901268925,0.893713913,0.878562963,0.895219811,0.877608613,0.920855188,0.843848938,0.797533988,0.9233544,0.908185288,0.871666567,0.92729285,0.897770825,0.85834845,0.795833475,0.8526529,0.898383288,0.863584588,0.839914111,0.830386075,0.790490675,0.86445485,0.811086463,0.845728025,0.81934785,0.810190867,0.878511488,0.875285988,,
9451,43.91,0.8519522,0.846958333,0.834548225,0.866624288,0.844215975,0.863443525,0.867683163,0.847487963,0.875873913,0.868112122,0.865250038,0.870164725,0.860355175,0.853024475,0.869709638,0.839675063,0.842619489,0.830876038,0.839248125,0.8601341,0.836393825,0.8864634,0.856321288,0.8350141,0.832346367,0.827210788,0.81234145,0.838709988,0.804620813,0.8342114,0.863471275,0.821408538,0.854028989,0.848154238,0.852821425,0.86396755,0.859681888,0.87739785,0.835025225,0.825042444,0.805240038,0.806499113,0.784963475,0.786717375,0.75618335,0.824594738,0.824317763,0.800980211,0.796502863,,
9452,42.88,0.8172588,0.8297672,0.801250789,0.80339615,0.871640275,0.840719988,0.856384238,0.870512025,0.873661675,0.854710478,0.81535875,0.830632913,0.851480225,0.849027525,0.859486188,0.836918538,0.785679138,0.809256989,0.817344338,0.818792363,0.855852063,0.79318255,0.8080573,0.808901513,0.811349278,0.796745963,0.836188075,0.85311755,0.869105775,0.857206075,0.865369875,0.846742313,0.8410812,0.823946388,0.821016463,0.831390863,0.820470113,0.8590255,0.852888738,0.803908325,0.823093711,0.814950713,0.831272325,0.830621688,0.842807425,0.813643725,0.788912338,0.8083249,0.8118234,,
9454,55.81,0.85307275,0.872665613,0.842605311,0.836176225,0.825792275,0.825536488,0.838796075,0.854542375,0.860973975,0.845659338,0.827987356,0.810482175,0.84945075,0.852327213,0.832886038,0.838433088,0.800561963,0.859056133,0.833213475,0.842024838,0.84432525,0.869305363,0.8591571,0.841275475,0.8469284,0.822375467,0.853044938,0.827204975,0.858535788,0.833730538,0.85202315,0.854002488,0.853658578,0.84142225,0.829975525,0.822472475,0.8584467,0.831204963,0.852748713,0.821013925,0.825435811,0.838765638,0.833581338,0.846081688,0.847363175,0.869247163,0.845751938,0.849143475,0.820929067,,
9455,40.41,0.91666065,0.928666625,0.9340483,0.911941689,0.92119855,0.9358985,0.922744013,0.9307597,0.951154288,0.940572888,0.934271778,0.943007238,0.9247617,0.934553813,0.931304975,0.9376594,0.8954679,0.923725638,0.899495256,0.918770713,0.959577525,0.935902338,0.921840663,0.901273538,0.949319238,0.903233378,0.923368925,0.953610188,0.938892,0.920163288,0.94925735,0.962146538,0.947498288,0.927952178,0.9079266,0.892468063,0.89882865,0.9212355,0.864031763,0.843841588,0.845489144,0.873320688,0.842897175,0.87344065,0.927877525,0.893615838,0.8871042,0.85004695,0.916880744,,
9436,38.07,0.860316,0.832332675,0.818466288,0.813178622,0.857385663,0.876841325,0.837442838,0.874216763,0.876826125,0.84171075,0.8996954,0.880517578,0.936606,0.846483313,0.88709425,0.8538591,0.8433948,0.802952888,0.786421678,0.784437575,0.776962813,0.7880058,0.790547988,0.76447725,0.7598693,0.752889738,0.748143644,0.851511088,0.88048285,0.862121513,0.913293438,0.9452064,0.939652863,0.9781359,0.992669413,0.98505,0.9472541,0.946850363,0.865932038,0.866612963,0.927768825,0.896231878,0.851183538,0.854695188,0.807796975,0.79302235,0.779047363,0.764104025,0.772671113,0.8576372,
9438,41.83,0.8764129,0.85909865,0.85666415,0.8355771,0.773230275,0.856280425,0.898685988,0.91996615,0.927850713,0.876668325,0.87332055,0.890386122,0.8894341,0.891333825,0.843680325,0.782816138,0.779250088,0.801097475,0.943668738,0.924446978,0.918329463,0.922986075,0.854430725,0.855055125,0.837215713,0.793496838,0.787925044,0.784849288,0.769688088,0.88018835,0.943636188,0.97563825,0.967791063,0.91027875,0.885290389,0.9672315,0.944867413,0.872480188,0.78809415,0.824009438,0.784959113,0.767407456,0.749724863,0.7441482,0.7964025,0.800513913,0.74463465,0.744215263,0.749640738,0.7504396,
9439,42.52,0.8309823,0.873657513,0.8881132,0.888433563,0.857353778,0.90471455,0.904362788,0.921564963,0.9172699,0.92362755,0.916447775,0.870150111,0.96511355,0.96577855,0.951523975,0.871893825,0.817094588,0.854764863,0.82757645,0.821293256,0.78990485,0.786199038,0.786327713,0.757999888,0.765587888,0.75018995,0.796194438,0.799566944,0.895874,0.923127588,0.93332935,0.834089375,0.910099775,0.9606069,0.982106844,0.9749547,0.991119913,0.9823564,0.986079738,0.94155515,0.937448425,0.913013325,0.863187322,0.84184215,0.787207125,0.772314763,0.781164088,0.75364765,0.768446438,,
9443,40.8,0.84641455,0.781813088,0.844530988,0.789950725,0.918043389,0.948022525,0.8744389,0.812207988,0.799506788,0.831202563,0.8737008,0.905177225,0.935160489,0.938943863,0.9689254,0.963300925,0.91036655,0.893027263,0.875109838,0.844878463,0.814175467,0.833601138,0.746852163,0.79229345,0.753873063,0.737933263,0.731475863,0.733891556,0.780919013,0.8159797,0.833827825,0.7742167,0.9134791,0.89470705,0.853563375,0.829440333,0.80196105,0.815492188,0.852795525,0.787081338,0.785466113,0.7613773,0.761168867,0.749613438,0.754070375,0.722903813,0.713761825,0.695053575,0.710870325,,
9444,28.94,0.88560625,0.865352775,0.872487588,0.864087175,0.856907963,0.813308533,0.904031875,0.945558013,0.971382913,0.992343975,0.985853375,1.012013538,1.004998756,1.002529688,1.005991588,0.970756075,0.950299388,1.00067925,1.013201775,1.024539875,1.03403,1.031576,0.98486785,1.007612013,0.946073225,0.903068813,0.97580375,0.954034175,0.992173389,0.985527713,1.037581625,1.04032425,1.04524025,1.036224875,1.038604,1.041903667,1.035758125,1.019043163,1.035172125,1.0015268,0.98465895,1.02954675,0.998146538,1.0280494,1.055559,1.0486,1.04764325,0.991961388,0.989732225,,
9450,39.18,0.8562729,0.867426588,0.8575182,0.849154763,0.835667975,0.932670489,0.90982845,0.95598525,0.960923213,0.9808188,0.9589006,0.974996738,1.000388388,0.984532578,0.978427838,0.971127138,0.977600975,0.97086475,0.93073315,0.895237463,0.970346889,0.953937638,0.917172763,0.836794113,0.884183363,0.862697788,0.922941463,0.968435825,0.978701667,0.968378475,0.945223388,0.997371063,1.002794475,0.997076875,0.951420588,0.979297288,0.982126111,0.966431838,0.935282375,0.897293413,0.909256388,0.886143138,0.9595574,0.916353478,0.972452238,0.96186725,0.865108338,0.831812413,0.88482155,,
9453,43.2,0.8603143,0.872478775,0.88113855,0.8860063,0.932477625,0.897330575,0.922171622,0.923980988,0.961879488,0.968084638,0.95355045,0.961642238,1.000198138,1.001915556,0.990835738,0.978470488,0.93637975,0.922086613,0.975070538,0.96290065,0.906416288,0.891010767,0.944076275,0.954313213,0.926153088,0.914848175,0.906711938,0.889170425,0.867613811,0.893336863,0.914761338,0.970219425,0.962009113,0.9342279,0.933493463,0.959551713,0.947954978,0.981186375,0.9601648,0.945919875,0.91913,0.880987838,0.897345775,0.922883488,0.866803922,0.815657938,0.882631925,0.866201575,0.849015688,,
