Subject,BW,5/18/26 11:00,5/18/26 12:00,5/18/26 13:00,5/18/26 14:00,5/18/26 15:00,5/18/26 16:00,5/18/26 17:00,5/18/26 18:00,5/18/26 19:00,5/18/26 20:00,5/18/26 21:00,5/18/26 22:00,5/18/26 23:00,5/19/26 0:00,5/19/26 1:00,5/19/26 2:00,5/19/26 3:00,5/19/26 4:00,5/19/26 5:00,5/19/26 6:00,5/19/26 7:00,5/19/26 8:00,5/19/26 9:00,5/19/26 10:00,5/19/26 11:00,5/19/26 12:00,5/19/26 13:00,5/19/26 14:00,5/19/26 15:00,5/19/26 16:00,5/19/26 17:00,5/19/26 18:00,5/19/26 19:00,5/19/26 20:00,5/19/26 21:00,5/19/26 22:00,5/19/26 23:00,5/20/26 0:00,5/20/26 1:00,5/20/26 2:00,5/20/26 3:00,5/20/26 4:00,5/20/26 5:00,5/20/26 6:00,5/20/26 7:00,5/20/26 8:00,5/20/26 9:00,5/20/26 10:00,5/20/26 11:00
9432,39.56,453.3333333,596.75,308.375,43.375,191.25,124.375,233,96.77777778,307.75,286.5,267,118,315.75,406.25,510.3333333,372.875,379,295.625,73.875,82.125,20.875,233.75,122.7777778,29.625,155.375,38,228.25,31.875,182.5,283.4444444,199.625,263.375,367.25,453.75,194.125,357.75,343.625,138.6666667,392,294.625,204.875,10.125,80.75,148,404.625,632,30.5,109.125,53
9433,41.24,695.6666667,653.125,37.375,42.875,433.375,16,174.5,313.1111111,638,650.875,162.75,598.5,279.25,274,558.625,523.7777778,601.5,552.125,12.375,98.75,3.875,103.375,29.22222222,24.75,38.5,91.125,20.75,36.375,129.625,29.375,134.3333333,101.5,466.375,337.625,150.25,86.125,352.5,59.88888889,398.125,359.5,185,106.25,80.625,14.25,46,0,44,233,231
9437,73.31,879.3333333,897.875,880.875,54.125,83.25,213.25,159.25,116.5555556,330.125,376.875,489.5,155.875,388.875,173.375,29.625,298.8888889,17.25,105.5,214,561.875,252,10,138.875,140.3333333,37,95.25,16.5,86.875,66.75,35.625,235.7777778,212,283.875,411.875,428.125,797.625,582.5,389.375,428.8888889,17.625,159.75,29.875,123,289.875,310.375,16.22222222,208.875,112.75,93.75
9441,51.71,566.6666667,572.875,160.25,63.75,2,103.625,1.625,151.625,476.1111111,211,93.5,508.25,211.75,617.375,817.25,31,448.625,388.5,36.75,28.75,0.125,2,304.5,0.777777778,2.875,9.75,91,1.125,18.75,288.125,24.875,83.33333333,557.75,394.375,51.5,356.5,530.125,242.25,11.77777778,87.875,51,76.75,27.75,614,91.875,0,73.33333333,0,8.625
9449,39.59,841,610.5555556,200.25,67,258.375,55.75,404.875,399.5,199.6666667,380.625,237.125,126.75,264.625,55.375,153.5,151,110.8888889,66,41.75,722.5,752.75,64.375,310.25,285.25,43,14.5,284.25,264.875,183.25,519,362.125,99,208.25,760.875,545.875,230.875,103.375,198.75,326,37.44444444,161.75,102,281.25,460.375,698.625,136,203.2222222,184.75,47.5
9451,43.91,343.5,258.7777778,20.625,171.125,123.375,169.875,149.125,66.75,163.375,102.1111111,67.625,125.75,114.375,95.25,137.25,9.25,106.1111111,87.875,301.5,94.375,104.25,334.375,117.25,129,6.222222222,7.75,7.125,46.625,45.5,66,168,21,108.6666667,220.875,73.25,40,135.25,165,21.5,19.33333333,5.625,24.125,6.125,72.125,18.875,338.25,90.75,5.222222222,39.75
9452,42.88,529,533.125,107.1111111,163,295.25,294.125,124.5,157.375,304.25,410.7777778,423.875,150,94.375,291,352.5,548.75,140.375,344.5555556,392.625,282.5,514.625,576.5,653,1692,433.1111111,171,37,115.875,142.75,371.75,455.875,251.5,341.3333333,187.625,168.875,216.75,197.125,567.25,339.125,124.875,266.7777778,137.5,101.875,102.75,346.5,341.75,191.5,388.4444444,180
9454,55.81,716,859,122.7777778,198.25,6.25,7.125,210.875,32.5,377.25,361.75,190.8888889,5,450.5,343.625,373.75,672.625,92,286.7777778,10.375,170,51.75,636.125,371.375,39.625,148.5,1.111111111,22.625,10,93.5,10,138.5,115.75,263.4444444,380.5,15.5,21.125,390,31.125,324.5,4.875,21.33333333,107.5,31.875,248.625,143.375,364.25,515.25,236.25,44
9455,40.41,529.5,547.5,472.625,221.7777778,86.125,133.75,13.125,87.125,348.125,402.875,328.7777778,115.25,53.875,148.5,145.5,165.375,30.375,85.75,20,70.375,29.25,147.875,44.375,29.375,187.125,17.55555556,76.875,17.75,59.875,31.75,197,75.375,270.875,430.2222222,512.5,247.75,268.5,404.75,100.125,73.125,58.22222222,69.75,68.875,152.75,29.75,89.75,182.375,96.375,42.55555556
9436,38.07,680.5,792.125,516.125,474.3333333,177,171.25,6,327.375,416.25,353.5,277.625,254.6666667,377.875,157.5,355.75,757,210,10.875,10.11111111,18.125,0,246.375,182.75,4.125,0,0,0,185.625,6.75,12.75,420.625,94.625,415.625,399.2222222,221,367.875,482.625,338.125,6.875,192.5,57.375,116.5555556,4.25,30.625,0,15.75,0,0,51.5
9438,41.83,1162,726.625,686.75,385,2.5,391.75,130.625,119.625,341,397.25,514.5,495.1111111,390,482.25,594.125,158.5,129.125,303.375,1141.5,992.7777778,789.25,974,372.25,126.125,278,325.375,128.3333333,44.25,243.875,298.25,433.625,355.625,403.625,378.875,425.5555556,538.375,606.875,643.25,71.625,524.625,583.625,413.2222222,251.625,93.125,649.125,693.375,0,0,42
9439,42.52,1272,966.5,793.625,423.75,193.7777778,131.5,323.75,122.25,483.125,518.5,571.25,359.4444444,539.625,625,681.25,838.625,100,409.625,442,26.22222222,1.75,6.75,122.25,3.375,76.75,9.875,64.375,91.11111111,139.375,326,295.625,107.25,431.625,177.125,302.8888889,136.25,627.625,788.625,810.125,176.875,420.125,297.5,0,154.25,0,0,87.625,0,8.25
9443,40.8,876.5,676.125,397.875,119,333,114.625,66.625,104.25,239,89.5,183.125,223,135,353.375,395.125,533,365.375,51.75,82.125,56.5,20.22222222,380.75,19,267.75,55.875,72.625,9.5,101.8888889,255.25,85.625,305.25,206.75,191,334.5,209.875,283,241.5,248.375,555.125,205,302.125,268.5,139.7777778,259.5,111,9.25,74.375,13.75,0
9444,28.94,822.5,519.75,85.375,115,26.875,20.66666667,131.25,37.875,176.625,229.75,213.5,73.5,134.1111111,104.25,105.625,6,25.375,92.25,139.75,383.875,482.2222222,370.5,4.375,168.125,15.125,17.625,70.25,1.625,41.22222222,127.5,55.875,193.875,309,527.25,237.5,264.5555556,121.375,66.125,148.625,9.375,63.125,13.125,40.125,521.3333333,317,273.25,75.75,86.5,116.5
9450,39.18,915.5,542.5,131.875,28.125,29.625,176.8888889,70.375,168.625,377.875,300.625,211.25,263.25,288.5,237.8888889,611.125,422.5,317.125,277.5,192.25,83.625,49.66666667,618.375,244.25,45.5,159.875,21.375,48.875,933.875,51.77777778,118.5,66.125,125.5,322.5,339.375,126.875,310.625,451,630.125,278.25,132.125,96,116.5,96.25,385.2222222,113.75,288.875,95.25,28.75,131
9453,43.2,671,560,73.625,129.25,151.375,47.875,1.111111111,161.125,22.875,151.875,212.625,211.5,211.375,165.6666667,160.5,104.5,3.25,56.25,278.125,141.25,1,0.444444444,261.25,1.625,0.375,1,1.5,0,2.111111111,131.625,3.125,109.75,20.75,115.625,232.125,323.625,76.44444444,128.75,54.875,159.625,1.5,7.625,117.375,19.125,74.33333333,0.75,254.75,0,0.25
9456,35.25,1556,830.25,626.75,542.75,220,140.375,196.1111111,102.125,400.125,1239.125,228.75,95.75,217.375,219.375,255.2222222,185.875,422.375,50.375,401.875,137.5,331.875,24.77777778,284.75,27,122.5,25.375,76,8.625,145.375,158.3333333,250.375,127.25,737.875,698.5,226,564.25,267.4444444,354.625,124.375,393.25,22,15.5,326.375,293.875,203.3333333,79.375,201,120.375,95.875
