Subject,BW,8/27/25 11:00,8/27/25 12:00,8/27/25 13:00,8/27/25 14:00,8/27/25 15:00,8/27/25 16:00,8/27/25 17:00,8/27/25 18:00,8/27/25 19:00,8/27/25 20:00,8/27/25 21:00,8/27/25 22:00,8/27/25 23:00,8/28/25 0:00,8/28/25 1:00,8/28/25 2:00,8/28/25 3:00,8/28/25 4:00,8/28/25 5:00,8/28/25 6:00,8/28/25 7:00,8/28/25 8:00,8/28/25 9:00,8/28/25 10:00,8/28/25 11:00,8/28/25 12:00,8/28/25 13:00,8/28/25 14:00,8/28/25 15:00,8/28/25 16:00,8/28/25 17:00,8/28/25 18:00,8/28/25 19:00,8/28/25 20:00,8/28/25 21:00,8/28/25 22:00,8/28/25 23:00,8/29/25 0:00,8/29/25 1:00,8/29/25 2:00,8/29/25 3:00,8/29/25 4:00,8/29/25 5:00,8/29/25 6:00,8/29/25 7:00,8/29/25 8:00,8/29/25 9:00,8/29/25 10:00
53,47.16,0.847845175,0.851298733,0.833644683,0.8366251,0.86363824,0.8578691,0.813687567,0.842817167,0.81541528,0.87184855,0.8369588,0.86647145,0.86858528,0.805664133,0.824671967,0.825769483,0.806840217,0.7780688,0.804805417,0.86460715,0.850174333,0.828538,0.832685083,0.78403325,0.784246733,0.77377996,0.767294,0.831022533,0.82615285,0.83795376,0.818312033,0.812398583,0.881117167,0.90302576,0.902289217,0.888338417,0.87654005,0.8401871,0.851244017,0.830910083,0.795701917,0.860574117,0.84731272,0.8613418,0.864814083,0.830925033,0.8629988,0.818733333
54,39.63,0.81262685,0.8794138,0.897940767,0.869738917,0.83391286,0.8505589,0.89884865,0.85701475,0.93670772,0.93271855,0.907290467,0.8582754,0.87349242,0.871740167,0.868672133,0.8743851,0.87067952,0.887061767,0.871972817,0.872551667,0.902977483,0.91851156,0.874761283,0.891164267,0.843195183,0.80111722,0.794196217,0.882808867,0.859677183,0.84071476,0.910989467,0.928261883,0.893878267,0.9349848,0.9381443,0.9170447,0.921843583,0.90518524,0.891556733,0.869652933,0.854869433,0.86667942,0.87610125,0.874796933,0.822455267,0.877447933,0.82888986,0.816154983
55,39.91,0.78133545,0.795787567,0.843517733,0.836198067,0.84128454,0.832112617,0.8638322,0.882092333,0.84409632,0.887521867,0.89162455,0.849091267,0.80873298,0.765277917,0.8518334,0.839980183,0.8098919,0.8126782,0.785520767,0.8024488,0.8355214,0.85657225,0.84595965,0.8750424,0.8724599,0.85304722,0.865201733,0.8428988,0.844149517,0.82327692,0.792909167,0.8736562,0.881653083,0.89596718,0.916338333,0.890085667,0.8687454,0.89938454,0.856275833,0.859148117,0.824040283,0.83833266,0.867957283,0.851516167,0.88246745,0.90439134,0.8553934,0.887261633
56,33.87,0.835640225,0.88765235,0.860846283,0.8682567,0.85699866,0.812453017,0.815324217,0.860890717,0.84659256,0.879472833,0.862917067,0.88638615,0.8433766,0.80658695,0.814067317,0.770496417,0.84723726,0.840412767,0.8300502,0.838875833,0.81976278,0.884041267,0.879219917,0.836728967,0.85420052,0.821763167,0.788452933,0.803533733,0.769734967,0.77582136,0.860433333,0.836047233,0.8978764,0.8402296,0.847789167,0.812887167,0.82625725,0.808279,0.858279567,0.8137155,0.800421083,0.79861466,0.7778668,0.863588067,0.844206767,0.85929628,0.8316452,0.834362617
57,37.25,0.858261475,0.8802384,0.86859635,0.8369876,0.865029617,0.813317533,0.8470992,0.85883295,0.8904732,0.8615758,0.856831283,0.85889235,0.83008404,0.838902917,0.873917083,0.857872133,0.84987538,0.838586433,0.8282531,0.8829194,0.86456084,0.8608461,0.897018317,0.871195933,0.89214744,0.8289857,0.832270433,0.812818817,0.82766332,0.809692867,0.844175167,0.908910033,0.8944265,0.91969032,0.881771067,0.890979483,0.872490217,0.84480586,0.856469917,0.8291975,0.82870525,0.8130561,0.7965242,0.89795155,0.851707383,0.76112162,0.782886533,0.858477167
58,57.84,0.864305525,0.8515133,0.843747917,0.83927954,0.824789733,0.853293067,0.82892395,0.84932262,0.842242433,0.847551417,0.836503217,0.845457883,0.83775034,0.828482017,0.856698667,0.85305295,0.8343138,0.8333402,0.81022635,0.862730833,0.82884278,0.8287111,0.893113283,0.850498217,0.82180732,0.8476603,0.859039117,0.848244683,0.85703314,0.83740665,0.862739767,0.866418167,0.8500522,0.860309583,0.825388083,0.834958283,0.853741917,0.84136732,0.833468067,0.8020115,0.800603067,0.77499098,0.75643625,0.855169333,0.843067483,0.84536824,0.873030683,0.839875267
59,27.35,0.807523075,0.855570567,0.837963217,0.84381356,0.81058015,0.8121262,0.824054217,0.77489058,0.821579967,0.9030272,0.911892183,0.9063989,0.8908581,0.9115977,0.894142483,0.876023767,0.87870308,0.827521317,0.77873525,0.8391804,0.86675482,0.900805417,0.906630117,0.892417467,0.91269776,0.89281825,0.875053283,0.8742131,0.88771918,0.898967467,0.908395383,0.918460683,0.9062129,0.912713933,0.889186633,0.9118896,0.90604936,0.891029633,0.876836667,0.839836533,0.847692533,0.80171554,0.758807567,0.85595815,0.908760733,0.87200004,0.89208595,0.880390533
60,30.76,0.8450267,0.871669117,0.833288383,0.86963226,0.856439383,0.849766067,0.818172067,0.7937443,0.825732467,0.831083783,0.8394462,0.86801506,0.858881967,0.8604445,0.861775417,0.82425722,0.818980417,0.757174,0.75975525,0.801562433,0.78105518,0.826847833,0.7994062,0.81903495,0.8314211,0.805195667,0.82482365,0.802037117,0.85423618,0.867968733,0.85958685,0.804228283,0.83387376,0.869033733,0.8561852,0.853267733,0.829313,0.89147235,0.8610964,0.858494467,0.84195326,0.863364567,0.8525157,0.845143083,0.781085333,0.84302018,0.8502716,0.846215617
61,56.73,0.849406125,0.85148985,0.834945217,0.84353504,0.844386933,0.854374617,0.847787717,0.87715498,0.861214817,0.84362105,0.8507171,0.86368782,0.852707067,0.8734254,0.851484567,0.86018684,0.866814367,0.85413965,0.84119405,0.87454848,0.869071583,0.870493417,0.859476583,0.8318523,0.82521964,0.846540517,0.826847467,0.846443617,0.84090932,0.825814567,0.812738167,0.83380975,0.87255086,0.867624467,0.83908395,0.841101333,0.8433737,0.773874833,0.823804867,0.78663255,0.77320818,0.75888845,0.830078883,0.841357383,0.83941628,0.855646,0.8098548,0.870457833
62,42.55,0.8673776,0.8806417,0.877071133,0.85979664,0.843537333,0.83268395,0.8655009,0.8636293,0.880559267,0.883051567,0.863478283,0.87151092,0.845572567,0.82568855,0.85550155,0.857558,0.84320095,0.870278733,0.881424567,0.8864274,0.8591625,0.878397283,0.829486967,0.81086182,0.874624517,0.8484531,0.863951967,0.875952883,0.86612046,0.911608183,0.9060283,0.897974533,0.8392995,0.864829283,0.890189333,0.880261817,0.8552498,0.875983017,0.8937778,0.866786467,0.8423034,0.874141733,0.858689717,0.8313868,0.8004035,0.811155667,0.7715773,0.77173305
