Subject,BW,8/27/25 11:00,8/27/25 12:00,8/27/25 13:00,8/27/25 14:00,8/27/25 15:00,8/27/25 16:00,8/27/25 17:00,8/27/25 18:00,8/27/25 19:00,8/27/25 20:00,8/27/25 21:00,8/27/25 22:00,8/27/25 23:00,8/28/25 0:00,8/28/25 1:00,8/28/25 2:00,8/28/25 3:00,8/28/25 4:00,8/28/25 5:00,8/28/25 6:00,8/28/25 7:00,8/28/25 8:00,8/28/25 9:00,8/28/25 10:00,8/28/25 11:00,8/28/25 12:00,8/28/25 13:00,8/28/25 14:00,8/28/25 15:00,8/28/25 16:00,8/28/25 17:00,8/28/25 18:00,8/28/25 19:00,8/28/25 20:00,8/28/25 21:00,8/28/25 22:00,8/28/25 23:00,8/29/25 0:00,8/29/25 1:00,8/29/25 2:00,8/29/25 3:00,8/29/25 4:00,8/29/25 5:00,8/29/25 6:00,8/29/25 7:00,8/29/25 8:00,8/29/25 9:00,8/29/25 10:00
53,47.16,1141.75,1027.333333,563.6666667,75.33333333,122.4,189.3333333,29.83333333,138.5,146.8,380,997.3333333,295.8333333,580.2,44.33333333,370.3333333,102.5,85.66666667,51.4,351.8333333,904.6666667,889,81.2,623.8333333,65.5,30.83333333,37.2,50.83333333,360.1666667,28.83333333,26.2,88.83333333,64,90,511,369.6666667,225.8333333,369.6666667,215.6,222,227.1666667,79.5,96.5,120.6,679.6666667,503.3333333,87.33333333,431.4,41
54,39.63,580.75,657.8333333,480.6666667,183.1666667,2.2,67.83333333,19,153,661.2,233,675.5,36.33333333,90.8,623.1666667,311.3333333,61,497.2,238.5,4.833333333,32.5,909.3333333,1199.8,1228,562.3333333,452.8333333,19,6.833333333,131,10.5,37,969,488.6666667,72.83333333,1310.6,120.6666667,335.6666667,801.5,292.8,23.5,70.83333333,22.5,728.6,1543,875.8333333,34.16666667,339.5,66.4,37
55,39.91,827.75,1166.833333,1635,870.5,284.6,30.33333333,127.5,677.8333333,25,320.5,1011.833333,1343.5,780.8,304,458,112.1666667,248.8,210.8333333,63.66666667,184.1666667,1063.6,1407.833333,611.6666667,76.5,47,324.2,92.33333333,69.16666667,73.83333333,154.8,107.8333333,512.5,391.5,182.2,638.8333333,746,367.6666667,854.2,53,261,50.16666667,189,84.83333333,227,290.8333333,791.8,311.1666667,347.6666667
56,33.87,1453.75,1178,1188.166667,980.1666667,786.8,473.1666667,128,329.3333333,244.4,557.6666667,289.5,840,472,156.5,352.5,67.66666667,111.6,38.16666667,9.833333333,257.8333333,336,898.5,785,1122.333333,1348.4,739.8333333,198.6666667,146,2.166666667,155.6,205.5,148.5,668.3333333,897.2,741.3333333,714.1666667,336.8333333,138.4,61.33333333,181.1666667,54.33333333,86,72.5,427.6666667,189.3333333,477,183.6666667,300.8333333
57,37.25,1309.75,1074.333333,648,73.2,488.8333333,39.5,53,629.1666667,466.4,288.3333333,227,347.8333333,206,309.3333333,223.1666667,472.5,141.8,354.8333333,78.66666667,345.5,337.2,718.5,770.6666667,1320.333333,1694.4,103.1666667,178.5,278.3333333,153.2,62.5,119.6666667,614.3333333,94,550,371.3333333,299.3333333,188.6666667,436.6,199.6666667,213.3333333,658.5,89.2,286.1666667,1348.5,545.5,144.2,413.8333333,928
58,57.84,809.75,764.5,205.5,186.2,5,120.6666667,4.333333333,63.8,1.833333333,547.6666667,687.1666667,763.1666667,114.6,60.5,295,130.3333333,52.6,143,17.83333333,338.6666667,10.6,35.83333333,432,21.33333333,2.8,34.33333333,1.5,2.333333333,66.8,190.8333333,18.16666667,90,42.2,110,626.3333333,514.5,13.83333333,138.6,260.8333333,31.33333333,97.66666667,35.4,21.16666667,206.1666667,28.16666667,113.6,450,0.666666667
59,27.35,1217,542.1666667,68.5,245.2,56.83333333,30.66666667,159.3333333,0,68.66666667,398.6666667,961.6666667,645.6,182.3333333,581.8333333,346,118.8333333,242.8,115,51,68.33333333,205.8,0,190.3333333,12.83333333,85,57.66666667,46.66666667,33,56,82.16666667,44.66666667,176.1666667,186.8,499,918.5,202.1666667,544.6,647.8333333,363.6666667,15.5,439.1666667,221,16.66666667,400.3333333,159,0,280.8333333,154.8333333
60,30.76,914.25,562.8333333,36,186.2,21.33333333,27.33333333,201.6666667,92,179.6666667,506,401,564.2,277.1666667,342,335.1666667,56,132.6666667,7,49.33333333,270.1666667,10.2,443.5,45,111.5,75.2,6,128.1666667,3.166666667,95.2,1.5,140.6666667,104.6666667,126.8,365.5,838.3333333,675.5,431,299.6666667,384.1666667,127.6666667,30.2,70,33.5,407.8333333,10.16666667,315.4,139.3333333,14.83333333
61,56.73,1089.25,1434.5,665.3333333,108.4,159.6666667,133.8333333,66.33333333,154.2,49.16666667,393.8333333,294.3333333,174.4,134.5,272.5,914.5,385.6,334.6666667,150.5,115.3333333,434.4,374.6666667,1342.5,1116,94.33333333,37.8,664.8333333,314,66.83333333,101.6,120.8333333,138.3333333,30.83333333,133,232,694,448.6666667,571.6,384.5,410.8333333,104.1666667,57.2,54.33333333,170.3333333,147.5,346.8,434,38,626
62,42.55,1437,1448,751.5,387.2,45.5,132.3333333,67.16666667,7.6,731.5,133.6666667,910.5,1276.2,1740.333333,484.3333333,527,660.2,436.8333333,120.8333333,73,252.4,1,69.5,255,58.4,663.8333333,7.166666667,23.5,3.5,24.6,12.33333333,25,539.1666667,126.4,52.33333333,924.5,945,206,154.6666667,860.6666667,279.5,176.6,268.3333333,21.83333333,234.5,7.8,535.1666667,72.16666667,1.166666667
63,31.33,1950.75,1837.666667,1577.8,1204.333333,131,1061.833333,665.8333333,1030,377.5,1361.666667,1623,1485.4,350.8333333,1430.5,1213.833333,203.4,232.1666667,136.1666667,29.83333333,1143.8,1196.666667,728.5,648.5,1201.8,927.3333333,504,76.5,29.2,135.8333333,292.1666667,374.3333333,742,329,932.5,1415.166667,1377,1155.2,189.3333333,16.66666667,644.5,91.8,147.3333333,114.8333333,1173.5,992,438.5,333.1666667,122.8333333
64,41.43,1162.75,1133.666667,635.8,1212.666667,76,356.3333333,54,64.5,1369.833333,24.16666667,272.5,121.4,51.83333333,125.5,763.6666667,1082.8,1332.166667,512,56.16666667,70.2,25,264,540,19.8,19.5,457.3333333,14.5,60,14.66666667,39.66666667,82,6,139.8333333,63.5,218.8333333,505.3333333,78.4,74,189.6666667,72,85,101.5,29.5,8,0,436.5,4.833333333,223.1666667
