Subject,BW,8/27/25 11:00,8/27/25 12:00,8/27/25 13:00,8/27/25 14:00,8/27/25 15:00,8/27/25 16:00,8/27/25 17:00,8/27/25 18:00,8/27/25 19:00,8/27/25 20:00,8/27/25 21:00,8/27/25 22:00,8/27/25 23:00,8/28/25 0:00,8/28/25 1:00,8/28/25 2:00,8/28/25 3:00,8/28/25 4:00,8/28/25 5:00,8/28/25 6:00,8/28/25 7:00,8/28/25 8:00,8/28/25 9:00,8/28/25 10:00,8/28/25 11:00,8/28/25 12:00,8/28/25 13:00,8/28/25 14:00,8/28/25 15:00,8/28/25 16:00,8/28/25 17:00,8/28/25 18:00,8/28/25 19:00,8/28/25 20:00,8/28/25 21:00,8/28/25 22:00,8/28/25 23:00,8/29/25 0:00,8/29/25 1:00,8/29/25 2:00,8/29/25 3:00,8/29/25 4:00,8/29/25 5:00,8/29/25 6:00,8/29/25 7:00,8/29/25 8:00,8/29/25 9:00,8/29/25 10:00
53,47.16,0.997118375,0.871036517,0.818336817,0.648581817,0.63780342,0.680485667,0.610561867,0.711113667,0.65576314,0.7827215,0.914060333,0.74914805,0.79851508,0.622785767,0.731091833,0.647195083,0.6604904,0.6695912,0.6833068,0.78489725,0.709516583,0.61819176,0.695591083,0.6132715,0.596646767,0.59714226,0.605234233,0.694580117,0.6125003,0.60079486,0.672179717,0.6370911,0.663385883,0.74276942,0.801526367,0.747611167,0.7637756,0.78251344,0.751042,0.733764217,0.670480233,0.6730216,0.69707766,0.747546767,0.690784567,0.6264662,0.71153812,0.612307333
54,39.63,1.155343,1.033219233,0.90384415,0.760484767,0.64627232,0.705418783,0.68159285,0.665092017,0.84189902,0.7926301,0.901421467,0.704184283,0.78252978,0.839716183,0.80330035,0.708853617,0.77569408,0.8349051,0.678442817,0.67231115,0.802286233,0.83374996,0.8578446,0.801114,0.7814776,0.64745064,0.63278495,0.7222826,0.66454935,0.71302734,0.8262328,0.808871883,0.729550067,0.87947792,0.827909133,0.9321699,0.92106795,0.84787806,0.74651635,0.7823962,0.7035311,0.75934762,0.929718483,0.981969033,0.742786333,0.833519267,0.68824566,0.7077349
55,39.91,1.19767425,1.153972667,0.979778617,0.843307183,0.75419414,0.608365767,0.671589583,0.818320267,0.61863582,0.7434619,0.851302,0.868041067,0.81352176,0.61826665,0.752339817,0.643692183,0.67618688,0.643829117,0.603467867,0.687390917,0.81936794,0.781058117,0.737922,0.604454917,0.629714617,0.62587766,0.657772633,0.649394483,0.61569365,0.66534152,0.604190133,0.7126173,0.741022233,0.67936668,0.836734883,0.825176817,0.718116433,0.76662942,0.6421587,0.70645025,0.597453933,0.66894568,0.640759317,0.699322267,0.732332367,0.79828148,0.679423717,0.6676983
56,33.87,1.03403445,0.951356483,0.907443933,0.846256433,0.78982824,0.769946917,0.64464395,0.729965983,0.70780266,0.798421133,0.734643183,0.852851083,0.74405646,0.687380083,0.740655117,0.619169867,0.67495796,0.648777467,0.585390433,0.680445067,0.7109615,0.771072533,0.747887333,0.772245817,0.77646258,0.673134733,0.587142017,0.634862917,0.582346517,0.61255516,0.688784267,0.6693455,0.7927783,0.90447664,0.864045517,0.821910583,0.689370717,0.70657098,0.754090033,0.698595017,0.70025475,0.68956316,0.68138785,0.776272,0.715925817,0.70262712,0.7052968,0.70014405
57,37.25,0.96505275,0.8830624,0.89404065,0.71945426,0.839300267,0.745486233,0.71981095,0.85559145,0.87848618,0.797053517,0.828898383,0.766228683,0.83467304,0.752035917,0.835545217,0.737249883,0.75798238,0.707373717,0.69878185,0.8313159,0.77738084,0.90398925,0.857477667,0.828894367,0.84165156,0.756121483,0.746782817,0.73328565,0.74380934,0.75054225,0.752353,0.944880517,0.754466733,0.933114,0.953389917,0.78965805,0.827139183,0.89797722,0.805256317,0.7872038,0.769635333,0.74187526,0.7653989,0.931544783,0.855086317,0.7289082,0.7386889,0.827178467
58,57.84,1.01799475,0.94598375,0.83661265,0.8264219,0.72701,0.83442905,0.763744233,0.85308884,0.776033667,0.966305067,1.03506585,0.932545317,0.8120615,0.768545333,0.845411483,0.755106867,0.76696774,0.729881533,0.6650254,0.860076417,0.68473562,0.736224367,0.8559975,0.7530705,0.68719942,0.777964233,0.74396115,0.736445117,0.81440134,0.821677767,0.80726685,0.826965117,0.79798494,0.903797533,1.064954917,0.846252817,0.8169404,0.7958083,0.832075,0.766635033,0.808005033,0.68038002,0.703515133,0.817943967,0.743540167,0.8090235,0.917288883,0.74135705
59,27.35,0.847465475,0.71000425,0.5826297,0.63547032,0.568389133,0.5580027,0.5904178,0.52519228,0.589247817,0.679454233,0.8324601,0.8010179,0.618053233,0.782370017,0.646845617,0.62702575,0.64050362,0.596849667,0.513263267,0.574557333,0.65889708,0.5727822,0.6520605,0.581706383,0.60127854,0.59025835,0.611835533,0.569935633,0.60734838,0.602883333,0.62464695,0.666407333,0.6618049,0.789612583,0.854660767,0.715507483,0.85396976,0.8544961,0.761986417,0.600966067,0.710022833,0.68164438,0.568843733,0.757603483,0.651423733,0.64001636,0.704933033,0.593845317
60,30.76,0.8115932,0.714069433,0.5971211,0.6773651,0.5594828,0.536050717,0.609984583,0.58786246,0.67753995,0.794016517,0.758486567,0.81905202,0.702478633,0.6930311,0.6669359,0.62453232,0.607203983,0.5335204,0.5085716,0.6158592,0.500676,0.68358555,0.52532335,0.540882967,0.57712004,0.484286883,0.583023,0.522626933,0.58518898,0.525280567,0.594421383,0.5588996,0.60022072,0.7154613,0.8924397,0.8284674,0.76112526,0.722029867,0.718684133,0.611447833,0.58344026,0.58479485,0.5806025,0.697725283,0.498582417,0.6587626,0.5667362,0.5107437
61,56.73,1.05665175,1.017132083,0.920762283,0.73317652,0.725837417,0.748377317,0.70350645,0.79974072,0.707765033,0.92007935,0.865818883,0.80958568,0.812734217,0.898962983,0.865533417,0.84465608,0.814184017,0.7509061,0.76145695,0.84170578,0.826717033,0.96852945,0.926259517,0.729054333,0.7732943,0.862716217,0.74509065,0.721036983,0.71691008,0.725638233,0.7556861,0.730752183,0.81084918,0.84366425,1.006840033,0.906500117,0.91408682,0.7538989,0.9107468,0.7803674,0.76822724,0.72640975,0.75518505,0.726755633,0.87627772,0.8529469,0.699197433,0.931737317
62,42.55,1.04195355,0.879584183,0.8371735,0.74007222,0.651739683,0.647381133,0.654527933,0.63250124,0.8031312,0.779171533,0.957427817,0.92110938,0.930780917,0.767427133,0.760784033,0.79883142,0.7266392,0.67292875,0.6469831,0.6631198,0.613959017,0.693684967,0.656636567,0.66264204,0.70652775,0.6121257,0.64166695,0.6157942,0.67376466,0.656173917,0.644915217,0.803867933,0.70259726,0.7010652,0.99395415,0.971413933,0.74501106,0.794232067,0.922637833,0.7208139,0.70521284,0.702924733,0.685905833,0.68643145,0.58731148,0.713800233,0.5853139,0.577833667
