Subject,BW,11/24/25 9:00,11/24/25 10:00,11/24/25 11:00,11/24/25 12:00,11/24/25 13:00,11/24/25 14:00,11/24/25 15:00,11/24/25 16:00,11/24/25 17:00,11/24/25 18:00,11/24/25 19:00,11/24/25 20:00,11/24/25 21:00,11/24/25 22:00,11/24/25 23:00,11/25/25 0:00,11/25/25 1:00,11/25/25 2:00,11/25/25 3:00,11/25/25 4:00,11/25/25 5:00,11/25/25 6:00,11/25/25 7:00,11/25/25 8:00,11/25/25 9:00,11/25/25 10:00,11/25/25 11:00,11/25/25 12:00,11/25/25 13:00,11/25/25 14:00,11/25/25 15:00,11/25/25 16:00,11/25/25 17:00,11/25/25 18:00,11/25/25 19:00,11/25/25 20:00,11/25/25 21:00,11/25/25 22:00,11/25/25 23:00,11/26/25 0:00,11/26/25 1:00,11/26/25 2:00,11/26/25 3:00,11/26/25 4:00,11/26/25 5:00,11/26/25 6:00,11/26/25 7:00,11/26/25 8:00,11/26/25 9:00
403,43.57,0.86516175,0.851742733,0.86941596,0.869149267,0.88643405,0.852735983,0.891862783,0.87409938,0.90506755,0.89764605,0.891361883,0.84947402,0.866021717,0.87171115,0.858102317,0.83504024,0.864240733,0.795304633,0.791072717,0.82695772,0.814482,0.85804825,0.875667733,0.89957996,0.855839817,0.779650283,0.805698317,0.85584744,0.80608405,0.854537967,0.856210817,0.8333133,0.87435516,0.871134933,0.844903383,0.86956435,0.85562906,0.850129933,0.840044883,0.769455817,0.75998662,0.743112617,0.76177445,0.837968233,0.81831584,0.813744317,0.835079433,0.821187817,0.76643306
402,36.95,0.806517,0.817389,0.83318502,0.86026605,0.798089983,0.80284535,0.76990066,0.872760017,0.873661433,0.8509192,0.87052035,0.89012602,0.8832935,0.834531167,0.874109033,0.8577344,0.818049233,0.8666057,0.795299033,0.7501348,0.738952333,0.7856002,0.79878875,0.82855088,0.7752999,0.824112833,0.8016248,0.80512614,0.834325533,0.82304555,0.842713767,0.87609598,0.86978055,0.895224767,0.87641475,0.871029133,0.85529946,0.84861605,0.8813956,0.87564805,0.87325014,0.829288417,0.782925533,0.7880418,0.75942866,0.81863025,0.83177305,0.828499,0.77736316
405,32.52,0.84331835,0.845701783,0.85293272,0.884238633,0.877054217,0.851607617,0.84202728,0.842256533,0.852375883,0.884691067,0.81130766,0.841848733,0.845899533,0.8201483,0.770395667,0.78629458,0.8190291,0.81790315,0.77809245,0.77603956,0.7833633,0.832221517,0.865556767,0.86406824,0.864619167,0.850291117,0.819831783,0.7821385,0.809752117,0.813532983,0.78033935,0.79706106,0.836695633,0.842911683,0.804046,0.8131246,0.84035555,0.8204497,0.77592525,0.808488,0.79768062,0.8010127,0.78276495,0.765995383,0.7757931,0.863602783,0.838814467,0.83509855,0.80207428
407,51.42,0.83420575,0.83594225,0.8601053,0.828458933,0.831454467,0.820044667,0.84270192,0.813199233,0.835280167,0.798514433,0.79710168,0.809761467,0.83588415,0.794286783,0.8100613,0.813524417,0.824894017,0.819585717,0.798432317,0.83932164,0.805566583,0.820701217,0.8616226,0.8749065,0.827700333,0.8614962,0.814394333,0.80430788,0.777651067,0.789860883,0.766266717,0.75937724,0.821644067,0.82802745,0.816047783,0.85194256,0.825381333,0.80559335,0.837806683,0.81331514,0.830655767,0.79121425,0.793542667,0.7606274,0.74961164,0.7728566,0.8111213,0.822001867,0.83839182
410,58.92,0.83426425,0.80685762,0.850031167,0.815035817,0.794056817,0.80485485,0.78769034,0.821902017,0.82201955,0.794402983,0.80389132,0.830291667,0.821499267,0.809763683,0.8233055,0.797062817,0.840637617,0.839346817,0.83882332,0.799997783,0.8066061,0.859891517,0.83146396,0.796417417,0.829865833,0.832755283,0.79630504,0.825408633,0.808560633,0.7944291,0.83875325,0.8179371,0.80568915,0.834659333,0.803027067,0.80922854,0.811505167,0.808147467,0.801672467,0.8401025,0.833715333,0.8278371,0.79177805,0.8231681,0.832165967,0.856678533,0.843228617,0.8608291,0.818598
411,31.94,0.83041265,0.83209996,0.8797631,0.895979183,0.842337067,0.80431944,0.802918017,0.87453835,0.84486805,0.88728565,0.85902876,0.835188817,0.882037317,0.835499667,0.79084582,0.844896383,0.871232233,0.8694844,0.87085616,0.857618917,0.769523383,0.773930217,0.80280694,0.8045146,0.792258283,0.798984067,0.8163461,0.790998917,0.756359933,0.799765983,0.85229186,0.807619233,0.814400283,0.8643438,0.87858895,0.87084748,0.8652079,0.843965817,0.851030933,0.83739818,0.847315783,0.751560883,0.771016983,0.75259248,0.736076333,0.806952617,0.86819255,0.78410808,0.763710117
417,42.04,0.7915437,0.79250074,0.811655083,0.85263875,0.8017435,0.74844444,0.810792283,0.797830083,0.820741567,0.84948168,0.7978467,0.85628575,0.83235655,0.872007833,0.85118212,0.825998217,0.812528167,0.7689309,0.763059,0.75917205,0.743853717,0.806593233,0.79653316,0.8077366,0.830015067,0.806727467,0.77271822,0.804463967,0.815335883,0.828700083,0.83061572,0.8061071,0.793971233,0.86289745,0.8495397,0.8497156,0.828687,0.859988983,0.836146783,0.83044344,0.8077075,0.8263546,0.765760383,0.77875574,0.785338933,0.816203833,0.809072933,0.80879196,0.829922033
418,41.9,0.84743875,0.87735908,0.947774683,0.966673883,0.978141967,0.92701742,0.915222217,0.844831167,0.9517538,0.92586152,0.9943839,0.9830171,0.9279484,0.9838969,0.915194233,0.92754785,0.84435685,0.951616017,0.86293854,0.829901417,0.808646467,0.840378233,0.79090058,0.820980117,0.880874383,0.839358867,0.80676868,0.804783417,0.75814765,0.75990935,0.74098822,0.8747714,0.943763,0.918292317,0.96106502,0.983823283,0.925616133,0.952613467,0.94212268,0.865834567,0.812235733,0.8174191,0.747150333,0.74274808,0.74440745,0.749059633,0.746672617,0.74251488,0.84946955
400,47.65,0.9571792,0.971412683,0.959893417,0.921073333,0.90588995,0.89057668,0.9178934,0.910069683,0.849070783,0.76758334,0.926807867,0.974297083,0.944266833,0.9140986,0.850864167,0.779790367,0.77032405,0.76028424,0.777263133,0.753905033,0.754994167,0.75150602,0.80877435,0.955767683,0.929878583,0.93866332,0.910365333,0.824941283,0.8433315,0.819731883,0.78506114,0.767534533,0.902657583,0.967444117,0.96726066,0.957683383,0.907744833,0.865321533,0.80488928,0.835468683,0.950974517,0.935358883,0.91661512,0.880714467,0.903882767,0.864502517,0.83146302,0.7719943,0.86719925
401,39.07,0.9117257,0.90726615,0.9254186,0.9915882,0.93307946,0.890776617,0.904890333,0.829512383,0.93158285,0.93002162,0.846005267,0.860097983,0.821895083,0.78559518,0.774371883,0.85621525,0.82746485,0.85182402,0.784764017,0.775938067,0.760537233,0.77181998,0.844967067,0.96757615,0.895608633,0.91416846,0.919801033,0.932711967,0.859128933,0.81780254,0.788240117,0.756104617,0.89737625,0.939508883,0.92637962,0.89856505,0.81791795,0.909732333,0.93768318,0.920614683,0.841395567,0.813897117,0.75429474,0.764700367,0.7463648,0.861990517,0.91744284,0.96495445,0.965639583
