Subject,BW,11/24/25 9:00,11/24/25 10:00,11/24/25 11:00,11/24/25 12:00,11/24/25 13:00,11/24/25 14:00,11/24/25 15:00,11/24/25 16:00,11/24/25 17:00,11/24/25 18:00,11/24/25 19:00,11/24/25 20:00,11/24/25 21:00,11/24/25 22:00,11/24/25 23:00,11/25/25 0:00,11/25/25 1:00,11/25/25 2:00,11/25/25 3:00,11/25/25 4:00,11/25/25 5:00,11/25/25 6:00,11/25/25 7:00,11/25/25 8:00,11/25/25 9:00,11/25/25 10:00,11/25/25 11:00,11/25/25 12:00,11/25/25 13:00,11/25/25 14:00,11/25/25 15:00,11/25/25 16:00,11/25/25 17:00,11/25/25 18:00,11/25/25 19:00,11/25/25 20:00,11/25/25 21:00,11/25/25 22:00,11/25/25 23:00,11/26/25 0:00,11/26/25 1:00,11/26/25 2:00,11/26/25 3:00,11/26/25 4:00,11/26/25 5:00,11/26/25 6:00,11/26/25 7:00,11/26/25 8:00,11/26/25 9:00
403,43.57,0.26988235,0.261896217,0.25047562,0.235258033,0.222387567,0.1660573,0.195140767,0.20535058,0.18207225,0.212052617,0.231794367,0.2161146,0.21502315,0.214472033,0.201466567,0.18980402,0.235440967,0.196270067,0.185775733,0.19206042,0.170930667,0.184283667,0.204252,0.22350942,0.215277133,0.207176333,0.19354025,0.18471076,0.159296367,0.186603067,0.169228567,0.19323325,0.19259472,0.2046355,0.21169225,0.232115883,0.22126114,0.209475117,0.217806783,0.201922067,0.17695192,0.169137567,0.1920848,0.17198915,0.16234948,0.175844733,0.218806817,0.1738016,0.18469636
402,36.95,0.92700395,0.917914517,0.84985826,0.801397267,0.659599017,0.650446333,0.57027912,0.812454183,0.812554717,0.718444083,0.759643333,0.80139272,0.865073983,0.71454865,0.8124031,0.82308688,0.6927351,0.862074533,0.810688533,0.6378681,0.578470517,0.7198776,0.73763165,0.78434416,0.647504683,0.685735817,0.59061685,0.59842314,0.61545865,0.630128467,0.600241133,0.75094924,0.7032184,0.7874731,0.778578517,0.802123033,0.84714906,0.698197667,0.7530146,0.756508917,0.81752494,0.752463367,0.593254767,0.646193283,0.5813978,0.783157117,0.944224733,0.778171383,0.54569978
405,32.52,0.9521829,0.949294767,0.87704016,0.83683575,0.837138267,0.777573883,0.7932081,0.688131717,0.728983867,0.781744733,0.6818677,0.795437033,0.758997133,0.764607333,0.63287475,0.6378941,0.581464567,0.624940983,0.585706383,0.56890442,0.640783167,0.783302933,0.726013117,0.78002192,0.755876017,0.7302546,0.615772133,0.57441514,0.642593417,0.604915567,0.607773733,0.685202,0.76865665,0.761768483,0.5950031,0.65462058,0.768677483,0.77849105,0.680994433,0.657402,0.65366064,0.648398683,0.655752167,0.61423855,0.6573415,0.72375085,0.805918333,0.717887617,0.58310342
407,51.42,1.097341,1.067229667,0.96726754,0.794623517,0.652293783,0.621252833,0.80648886,0.657691667,0.80155445,0.714501933,0.73454742,1.009300167,0.994132833,0.786376483,0.83567224,0.6825635,0.820518683,0.79605865,0.697431483,0.7813541,0.621019933,0.718450817,0.86154625,0.77316746,0.649609783,0.801981217,0.6569417,0.68642828,0.64078315,0.712957167,0.649276867,0.72949922,0.683730267,0.81300335,0.693390083,0.88134976,1.013358983,0.771330467,0.815810283,0.69365858,0.826332367,0.655873067,0.692417083,0.634290883,0.56196224,0.754120667,0.832500083,0.70829785,0.83149812
410,58.92,1.275167,1.1427896,1.089723167,1.006613883,0.787171767,0.831515517,0.77515532,0.838004083,0.89776425,0.773077067,0.79346298,1.045496383,1.0385018,0.930552867,0.968797,0.87153935,1.0757145,1.054462333,0.9609126,0.730036517,0.717816467,0.92324735,0.73440768,0.7374467,0.86198455,0.8102785,0.73620924,0.80480655,0.7397824,0.738324833,0.858375483,0.81186654,0.75109415,0.8890484,0.811520317,0.97782076,1.017362,0.828387917,0.83203865,0.87371214,0.97391895,0.87803335,0.676262833,0.78647068,0.728509517,0.795938033,0.75899605,0.96027956,0.736536583
411,31.94,0.9046856,0.88501456,0.830441783,0.79758765,0.782910767,0.64446014,0.685403583,0.719398467,0.69583265,0.781712383,0.69918272,0.85099475,0.834457817,0.7273607,0.65674822,0.775435,0.734651933,0.816728533,0.7744897,0.75329085,0.6301265,0.60751905,0.76174982,0.62820075,0.637302783,0.574275883,0.69342356,0.632167067,0.587286017,0.600136933,0.77740872,0.613078033,0.706765983,0.685726367,0.759389467,0.82659676,0.883667417,0.65696785,0.796711583,0.90831832,0.840695917,0.628871317,0.6855986,0.64536502,0.554472483,0.802675617,0.735252317,0.56151544,0.53659235
417,42.04,1.1466175,1.0730856,0.997817883,0.988876933,0.867438783,0.6640452,0.831869733,0.603202017,0.8385738,0.74720314,0.672593783,0.981320567,0.7944219,0.961037717,0.9892706,1.027398917,0.8489739,0.625242633,0.65642368,0.7157495,0.5879572,0.844844,0.79876478,0.78102905,0.78864455,0.678375033,0.56196018,0.736662117,0.59466425,0.629182683,0.79472588,0.64735745,0.651888633,0.91030835,0.65261548,0.9464125,0.804233117,0.7965118,0.7547313,0.7374003,0.655285817,0.847030667,0.6342072,0.75971622,0.63207525,1.02039965,0.782099967,0.86683596,0.729335483
418,41.9,0.92017615,0.9519467,0.8930507,0.893762,0.886212617,0.8018238,0.761214333,0.629493417,0.822387517,0.66426378,0.82382355,0.90200415,0.765742267,0.79163786,0.613658167,0.781245367,0.655937467,0.852811283,0.71024188,0.595634183,0.598519917,0.754707983,0.60028194,0.784299333,0.748406533,0.68537595,0.59664186,0.7159847,0.586771467,0.619881833,0.5753493,0.752483733,0.629864283,0.793131783,0.9950857,0.9800655,0.92847145,0.7021189,0.80708902,0.848864183,0.624770467,0.714392883,0.6397594,0.57287402,0.604168317,0.696987633,0.7835574,0.72868458,0.8910291
400,47.65,1.011351,0.956210217,0.8513695,0.72361815,0.65820825,0.66152288,0.592496133,0.730774567,0.6880896,0.59166434,0.786146417,0.8101083,0.900856333,0.91442848,0.880779967,0.7391171,0.609534883,0.60663174,0.655841067,0.564090533,0.6009671,0.5937356,0.737948817,0.868472917,0.6819883,0.5675106,0.64916865,0.5336174,0.524094583,0.56817645,0.58993138,0.657163133,0.813687233,0.5982838,0.65285144,0.944479567,0.966760883,0.86784105,0.6296238,0.660279983,0.7188689,0.643768783,0.64014574,0.646288617,0.5600409,0.631702967,0.88775846,0.586501717,0.772720217
401,39.07,1.088515,1.156781333,1.09563,1.047816667,0.85177224,0.697307233,0.8104661,0.663512367,0.930216133,0.84428424,0.635642217,0.85640005,0.959357133,0.81153076,0.701267467,0.779562317,0.647182733,0.93968324,0.635531917,0.65280065,0.5891522,0.6780083,0.842587167,0.8583156,0.696095983,0.60562984,0.6563089,0.6810727,0.54389695,0.5787487,0.658647517,0.576762117,0.820013867,0.594270467,0.84221732,0.8772701,0.904912667,0.865104517,0.61225062,0.813046083,0.630008267,0.658883833,0.54832472,0.659721617,0.55404915,0.758782267,0.87116872,0.609666333,0.8161191
