ID,DATE,STATUS,GROUP,GIP_pg_mL,message_GIP,GLP_total_pg_mL,message_GLP,IL6_pg_mL,message_IL6,glucagon_pg_mL,message_glucagon,insulin_pg_mL,message_insulin,leptin_pg_mL,message_leptin,MCP_1_pg_mL,message_MCP_1,secretin_pg_mL,message_secretin,PP_mg_mL,message_PP,PYY_pg_mL,message_PYY,resistin_pg_mL,message_resistin,TNFa_pg_mL,message_TNFa,amylin_pg_mL,message_amylin,ghrelin_pg_mL,message_ghrelin,cpeptide_pg_mL,message_cpeptide
3718,2/13/25,peak obesity,ad libitum,302.27,,285.75,BLOQ,24.35,BLOQ,98.8,,1220.65,,5869.73,,102.18,BLOQ,10.91,BLOQ,35.97,BLOQ,67.07,BLOQ,11132.32,,2.55,BLOQ,80.48,,10.89,BLOQ,2019.41,
3718,2/13/25,peak obesity,ad libitum,246.84,,246.25,BLOQ,22.5,BLOQ,85.04,,1173.99,,6487.56,,39.91,BLOQ,9.75,BLOQ,30.22,BLOQ,52.18,BLOQ,5953.65,,2.62,BLOQ,63.05,,12.04,BLOQ,1485.11,
3718,3/25/25,BW maintenance,ad libitum,333.01,,579.73,,15.83,BLOQ,134.31,,1266.39,,8155.16,,105.63,BLOQ,17.61,,75.33,,96.72,,14133.04,,6.64,,92.51,,12.4,BLOQ,2204.19,
3718,3/25/25,BW maintenance,ad libitum,162.23,,276.3,BLOQ,12.4,BLOQ,77.76,,938.06,,5741.01,,89.23,BLOQ,10.39,BLOQ,31.98,BLOQ,59.81,BLOQ,9381.92,,3.64,BLOQ,71.02,,10.51,BLOQ,1359.9,
3716,2/11/25,peak obesity,ad libitum,77.15,,258.9,BLOQ,23.81,BLOQ,23.99,BLOQ,1306.3,,3907.13,,92.88,BLOQ,8.61,BLOQ,35.76,BLOQ,28.41,BLOQ,7313.17,,3.45,BLOQ,111.17,,11.71,BLOQ,2117.94,
3716,2/11/25,peak obesity,ad libitum,89.6,,290.03,BLOQ,22.88,BLOQ,23.71,BLOQ,1740.96,,4344.91,,87.83,BLOQ,8.59,BLOQ,37.66,BLOQ,24.18,BLOQ,13695.38,,6.28,,125.97,,21.45,BLOQ,2888.2,
3716,3/25/25,BW maintenance,ad libitum,406.54,,442.63,,32.4,BLOQ,73.13,,1268.89,,6511.45,,99.47,BLOQ,15.62,,46.4,BLOQ,89.25,,9816.61,,4.46,,127.54,,12.98,BLOQ,2604.3,
3716,3/25/25,BW maintenance,ad libitum,374.32,,505.66,,38.45,,78.32,,1393.52,,6601.11,,117.08,BLOQ,15.45,,53.58,BLOQ,107.42,,18050.76,,6.74,,107.97,,21.25,BLOQ,2872.87,
3713,2/11/25,peak obesity,ad libitum,191.02,,456.39,,12.84,BLOQ,100.08,,1850.91,,3423.55,,50.77,BLOQ,13.58,,49.41,BLOQ,96.94,,14144.12,,4.76,,92.56,,21.41,BLOQ,2521.05,
3713,2/11/25,peak obesity,ad libitum,99.31,,224.27,BLOQ,16.48,BLOQ,48.5,,1250.09,,3805.01,,,EXT,9.41,BLOQ,29.26,BLOQ,61.78,BLOQ,5001.47,,1.95,BLOQ,76.52,,18.9,BLOQ,1453.6,
3713,3/25/25,BW maintenance,ad libitum,381.6,,374.42,,54.54,,118.03,,2309,,7920.8,,91.9,BLOQ,11.41,,47.3,BLOQ,112.55,,16478.63,,3.94,BLOQ,137.11,,25.07,BLOQ,2625.91,
3713,3/25/25,BW maintenance,ad libitum,285.16,,318.05,BLOQ,55.28,,96.04,,1841.1,,9889.56,,100.8,BLOQ,11,,35.67,BLOQ,91.41,,15288.46,,5.62,,118.17,,23.96,BLOQ,2306.12,
3721,2/13/25,peak obesity,restricted,78.84,,116.17,BLOQ,16.65,BLOQ,40.4,BLOQ,820.06,,3435.32,,56.07,BLOQ,6.15,BLOQ,,EXT,42.29,BLOQ,10636.35,,6.52,,77.97,,5.33,BLOQ,1237.04,
3721,2/13/25,peak obesity,restricted,85.24,,122.98,BLOQ,11.87,BLOQ,41.32,,930.78,,4921.83,,,EXT,5.54,BLOQ,,EXT,41.61,BLOQ,10092.14,,7.06,,74.12,,3.81,BLOQ,1383.86,
3721,4/9/25,BW loss,restricted,200.74,,327.12,BLOQ,34.14,BLOQ,75.56,,717.09,,4536.91,,29.41,BLOQ,8.64,BLOQ,19.85,BLOQ,58.64,BLOQ,9932.74,,2.22,BLOQ,107.93,,15.71,BLOQ,1138.28,
3721,4/9/25,BW loss,restricted,156.39,,304.99,BLOQ,33.77,BLOQ,65.39,,754.01,,2686.84,,71.04,BLOQ,8.59,BLOQ,11.03,BLOQ,61.31,BLOQ,12531.7,,3.07,BLOQ,68.31,,11.94,BLOQ,1054.1,
3714,2/13/25,peak obesity,restricted,231.03,,274.03,BLOQ,20.87,BLOQ,91.45,,1801.61,,6734.45,,54.07,BLOQ,11.54,,21.28,BLOQ,95.01,,21879.24,,5.42,,118.5,,28.52,BLOQ,2457.58,
3714,2/13/25,peak obesity,restricted,202.02,,275.92,BLOQ,17.82,BLOQ,94.18,,2007.72,,5460.17,,,EXT,11.2,,16.09,BLOQ,87.79,,26565.15,,6.62,,130.79,,28.54,BLOQ,2874.19,
3714,4/9/25,BW loss,restricted,604.28,,484.21,,20.21,BLOQ,172.1,,3187.12,,5713.59,,72.01,BLOQ,32.73,,58.28,BLOQ,148.98,,10971.75,,3.39,BLOQ,192.39,,36.29,BLOQ,2809.06,
3714,4/9/25,BW loss,restricted,627.69,,527.25,,22.49,BLOQ,181.36,,4135,,7034.6,,65.69,BLOQ,34.06,,65.33,BLOQ,130.46,,11356.69,,5.49,,185.7,,43.79,BLOQ,3272.33,
3722,2/13/25,peak obesity,restricted,161.16,,260.2,BLOQ,23.06,BLOQ,100.68,,1066.86,,3818.41,,,EXT,6.39,BLOQ,36.1,BLOQ,67.61,BLOQ,4157.42,,1.07,BLOQ,90.12,,18.33,BLOQ,959.51,
3722,2/13/25,peak obesity,restricted,168.45,,307.6,BLOQ,27.05,BLOQ,97.43,,1313.07,,4753.88,,51.03,BLOQ,10.7,BLOQ,42.41,BLOQ,81.46,,9037.52,,2.92,BLOQ,99.31,,23.98,BLOQ,1204.16,
3722,4/1/25,BW loss,restricted,151.04,,313.9,BLOQ,22.42,BLOQ,71.21,,1602.07,,2049.46,,116.78,BLOQ,23.74,,33.08,BLOQ,102.17,,9917.66,,1.6,BLOQ,181.87,,35.1,BLOQ,2739.12,
3722,4/1/25,BW loss,restricted,162.45,,387.66,,20.91,BLOQ,79.46,,1976.02,,2171.39,,54.21,BLOQ,28.16,,32.13,BLOQ,100.48,,13346.76,,2.26,BLOQ,141.32,,29.62,BLOQ,2591.55,
3709,2/11/25,peak obesity,ad libitum,330.22,,467.39,,34.52,,213.74,,3090.58,,6514.43,,73.35,BLOQ,17.18,,49.31,BLOQ,126.04,,17013.86,,5.41,,168.35,,45.31,BLOQ,1617.97,
3709,2/11/25,peak obesity,ad libitum,204.71,,310.16,BLOQ,25.83,BLOQ,154.16,,2612.69,,4988.18,,71.3,BLOQ,12.35,,28.94,BLOQ,95.42,,9578.27,,4.76,,111.3,,41.32,BLOQ,1504.23,
3709,3/25/25,BW maintenance,ad libitum,287.9,,324.74,BLOQ,43.5,,77.64,,1614.06,,7338.21,,,ND,12.75,,20.84,BLOQ,116.83,,14158.33,,5.09,,121.74,,19.05,BLOQ,1177.19,
