ID,SABLE,STRAIN,SEX,DIET_FORMULA,total_act,GROUP,DRUG
3706,BW loss,NZO/HlLtJ,F,D12450Ki,66.9394526,ad lib,vehicle
3706,BW maintenance,NZO/HlLtJ,F,D12450Ki,101.2794358999997,ad lib,vehicle
3706,BW regain,NZO/HlLtJ,F,D12450Ki,143.80124219999976,ad lib,vehicle
3706,baseline,NZO/HlLtJ,F,D12450Ki,49.347643449999865,ad lib,vehicle
3706,peak obesity,NZO/HlLtJ,F,D12450Ki,47.309610850000006,ad lib,vehicle
3707,BW loss,NZO/HlLtJ,F,D12450Ki,45.43903999999999,ad lib,vehicle
3707,BW maintenance,NZO/HlLtJ,F,D12450Ki,68.54285249999987,ad lib,vehicle
3707,BW regain,NZO/HlLtJ,F,D12450Ki,101.5931396499999,ad lib,vehicle
3707,baseline,NZO/HlLtJ,F,D12450Ki,55.764010000000006,ad lib,vehicle
3707,peak obesity,NZO/HlLtJ,F,D12450Ki,48.90957349999998,ad lib,vehicle
3708,BW loss,NZO/HlLtJ,F,D12450Ki,85.8725624999999,restricted,RTIOXA_47
3708,BW maintenance,NZO/HlLtJ,F,D12450Ki,92.35011769999991,restricted,RTIOXA_47
3708,BW regain,NZO/HlLtJ,F,D12450Ki,223.94117704999974,restricted,RTIOXA_47
3708,baseline,NZO/HlLtJ,F,D12450Ki,65.42636994999995,restricted,RTIOXA_47
3708,peak obesity,NZO/HlLtJ,F,D12450Ki,62.14762499999998,restricted,RTIOXA_47
3709,BW loss,NZO/HlLtJ,F,D12450Ki,78.22355399999998,ad lib,vehicle
3709,BW maintenance,NZO/HlLtJ,F,D12450Ki,87.04224624999986,ad lib,vehicle
3709,BW regain,NZO/HlLtJ,F,D12450Ki,74.07510814999992,ad lib,vehicle
3709,baseline,NZO/HlLtJ,F,D12450Ki,45.72313145,ad lib,vehicle
3709,peak obesity,NZO/HlLtJ,F,D12450Ki,50.02456624999998,ad lib,vehicle
3710,BW loss,NZO/HlLtJ,F,D12450Ki,53.25742149999999,restricted,RTIOXA_47
3710,BW maintenance,NZO/HlLtJ,F,D12450Ki,62.9727967,restricted,RTIOXA_47
3710,BW regain,NZO/HlLtJ,F,D12450Ki,137.34705549999993,restricted,RTIOXA_47
3710,baseline,NZO/HlLtJ,F,D12450Ki,57.285502250000036,restricted,RTIOXA_47
3710,peak obesity,NZO/HlLtJ,F,D12450Ki,59.80511,restricted,RTIOXA_47
3711,BW loss,NZO/HlLtJ,F,D12450Ki,70.79734629999993,ad lib,vehicle
3711,BW maintenance,NZO/HlLtJ,F,D12450Ki,107.93008239999996,ad lib,vehicle
3711,BW regain,NZO/HlLtJ,F,D12450Ki,149.65186824999986,ad lib,vehicle
3711,baseline,NZO/HlLtJ,F,D12450Ki,62.42698949999992,ad lib,vehicle
3711,peak obesity,NZO/HlLtJ,F,D12450Ki,87.48899149999974,ad lib,vehicle
3713,BW loss,NZO/HlLtJ,F,D12450Ki,61.929185,ad lib,vehicle
3713,BW maintenance,NZO/HlLtJ,F,D12450Ki,66.80065039999997,ad lib,vehicle
3713,BW regain,NZO/HlLtJ,F,D12450Ki,57.17556154999997,ad lib,vehicle
3713,baseline,NZO/HlLtJ,F,D12450Ki,42.603035000000006,ad lib,vehicle
3713,peak obesity,NZO/HlLtJ,F,D12450Ki,71.81709459999999,ad lib,vehicle
3714,BW loss,NZO/HlLtJ,F,D12450Ki,64.32183949999998,restricted,vehicle
3714,BW maintenance,NZO/HlLtJ,F,D12450Ki,52.750228750000005,restricted,vehicle
3714,BW regain,NZO/HlLtJ,F,D12450Ki,88.21552550000001,restricted,vehicle
3714,baseline,NZO/HlLtJ,F,D12450Ki,38.17666655000001,restricted,vehicle
3714,peak obesity,NZO/HlLtJ,F,D12450Ki,37.20905,restricted,vehicle
3716,BW loss,NZO/HlLtJ,F,D12450Ki,81.17889609999986,ad lib,RTIOXA_47
3716,BW maintenance,NZO/HlLtJ,F,D12450Ki,102.24046764999987,ad lib,RTIOXA_47
3716,BW regain,NZO/HlLtJ,F,D12450Ki,111.49110050000002,ad lib,RTIOXA_47
3716,baseline,NZO/HlLtJ,F,D12450Ki,47.507577200000014,ad lib,RTIOXA_47
3716,peak obesity,NZO/HlLtJ,F,D12450Ki,120.02343079999986,ad lib,RTIOXA_47
3717,BW loss,NZO/HlLtJ,F,D12450Ki,85.11227649999998,ad lib,RTIOXA_47
3717,BW maintenance,NZO/HlLtJ,F,D12450Ki,129.31758074999985,ad lib,RTIOXA_47
3717,BW regain,NZO/HlLtJ,F,D12450Ki,60.54579249999999,ad lib,RTIOXA_47
3717,baseline,NZO/HlLtJ,F,D12450Ki,121.5423685,ad lib,RTIOXA_47
3717,peak obesity,NZO/HlLtJ,F,D12450Ki,100.57783309999996,ad lib,RTIOXA_47
3718,BW loss,NZO/HlLtJ,F,D12450Ki,68.86794300000003,ad lib,RTIOXA_47
3718,BW maintenance,NZO/HlLtJ,F,D12450Ki,77.63519019999994,ad lib,RTIOXA_47
3718,BW regain,NZO/HlLtJ,F,D12450Ki,59.915724850000004,ad lib,RTIOXA_47
3718,baseline,NZO/HlLtJ,F,D12450Ki,44.343888549999996,ad lib,RTIOXA_47
3718,peak obesity,NZO/HlLtJ,F,D12450Ki,88.25483799999995,ad lib,RTIOXA_47
3719,BW loss,NZO/HlLtJ,F,D12450Ki,67.58892399999996,ad lib,RTIOXA_47
3719,BW maintenance,NZO/HlLtJ,F,D12450Ki,86.09778599999984,ad lib,RTIOXA_47
3719,BW regain,NZO/HlLtJ,F,D12450Ki,81.73420589999992,ad lib,RTIOXA_47
3719,baseline,NZO/HlLtJ,F,D12450Ki,57.6612796,ad lib,RTIOXA_47
3719,peak obesity,NZO/HlLtJ,F,D12450Ki,23.961274000000003,ad lib,RTIOXA_47
3720,BW loss,NZO/HlLtJ,F,D12450Ki,71.24951824999997,restricted,vehicle
3720,BW maintenance,NZO/HlLtJ,F,D12450Ki,58.53643095000001,restricted,vehicle
3720,BW regain,NZO/HlLtJ,F,D12450Ki,84.92817265,restricted,vehicle
3720,baseline,NZO/HlLtJ,F,D12450Ki,77.56437874999986,restricted,vehicle
3720,peak obesity,NZO/HlLtJ,F,D12450Ki,49.68511000000001,restricted,vehicle
3721,BW loss,NZO/HlLtJ,F,D12450Ki,91.40596799999999,restricted,RTIOXA_47
3721,BW maintenance,NZO/HlLtJ,F,D12450Ki,83.09844500000001,restricted,RTIOXA_47
3721,BW regain,NZO/HlLtJ,F,D12450Ki,80.73984099999987,restricted,RTIOXA_47
3721,baseline,NZO/HlLtJ,F,D12450Ki,75.64316569999977,restricted,RTIOXA_47
3721,peak obesity,NZO/HlLtJ,F,D12450Ki,97.98449889999995,restricted,RTIOXA_47
3722,BW loss,NZO/HlLtJ,F,D12450Ki,73.96115900000001,restricted,RTIOXA_47
3722,BW maintenance,NZO/HlLtJ,F,D12450Ki,81.87222149999994,restricted,RTIOXA_47
3722,BW regain,NZO/HlLtJ,F,D12450Ki,123.449707,restricted,RTIOXA_47
3722,baseline,NZO/HlLtJ,F,D12450Ki,66.7255815499999,restricted,RTIOXA_47
3722,peak obesity,NZO/HlLtJ,F,D12450Ki,40.71530099999999,restricted,RTIOXA_47
3723,BW loss,NZO/HlLtJ,F,D12450Ki,50.81541849999999,restricted,RTIOXA_47
3723,BW maintenance,NZO/HlLtJ,F,D12450Ki,77.6397279999999,restricted,RTIOXA_47
3723,BW regain,NZO/HlLtJ,F,D12450Ki,67.84547299999997,restricted,RTIOXA_47
