ID,STRAIN,SEX,BW_BW maintenance,BW_BW regain,DATE_BW maintenance,DATE_BW regain,days,y3
3708,NZO/HlLtJ,F,39.6,44.87,2025-05-09,2025-07-08,60,0.002218013468013466
3710,NZO/HlLtJ,F,43.18,49.19,2025-05-09,2025-07-09,61,0.0022817181603504958
3714,NZO/HlLtJ,F,39.1,45.25,2025-05-09,2025-07-14,66,0.0023831667054173443
3720,NZO/HlLtJ,F,29.61,35.75,2025-05-23,2025-07-17,55,0.003770225046820792
3721,NZO/HlLtJ,F,33.75,37.96,2025-05-23,2025-07-17,55,0.0022680134680134684
3722,NZO/HlLtJ,F,31.82,40.16,2025-05-23,2025-07-17,55,0.004765441974744298
3723,NZO/HlLtJ,F,35.08,41.45,2025-05-23,2025-07-21,59,0.0030777109947239265
3724,NZO/HlLtJ,F,34.92,40.56,2025-05-23,2025-07-21,59,0.0027374919913798128
3725,NZO/HlLtJ,F,32.14,37.54,2025-05-23,2025-07-21,59,0.002847710756963707
3727,NZO/HlLtJ,F,32.81,38.73,2025-05-30,2025-07-22,53,0.003404392356219051
3728,NZO/HlLtJ,F,35.54,41.75,2025-05-30,2025-07-22,53,0.003296843312345378
3729,NZO/HlLtJ,F,39.01,45.79,2025-05-30,2025-07-22,53,0.0032792752704918437
7861,C57BL6/J,M,35.18,41.3,2025-06-30,2025-08-27,58,0.002999353080708081
7863,C57BL6/J,M,33.31,38.61,2025-06-30,2025-08-27,58,0.0027432996200788813
7865,C57BL6/J,M,40.83,47.51,2025-06-30,2025-08-28,59,0.002772969360349029
7866,C57BL6/J,M,26.47,34.81,2025-06-30,2025-09-05,67,0.004702592064234928
7872,C57BL6/J,F,18.51,21.6,2025-06-30,2025-09-01,63,0.0026497903321242053
7874,C57BL6/J,F,20.42,23.96,2025-06-30,2025-09-02,64,0.002708741429970616
7877,C57BL6/J,F,23.55,30.33,2025-06-30,2025-09-05,67,0.004296986405551857
7878,C57BL6/J,F,18.68,24.23,2025-06-30,2025-08-28,59,0.005035749283199652
