MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002443993,3993,6A,H1,1,2/6/24,F,HFD,8,0,29.57,,17.5,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.03,15.69,0.09,11.84,"10:32:02 Apr 1, 2024; 91; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443994,3994,6A,I1,1,2/6/24,F,HFD,8,0,28.19,,17.3,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,0.99,15.76,0.08,11.69,"10:37:59 Apr 1, 2024; 83; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443995,3995,6A,J1,1,2/6/24,F,HFD,8,0,25.49,,17.2,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.5,15.06,0.12,11.36,"10:41:57 Apr 1, 2024; 76; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443996,3996,6A,K1,1,2/6/24,F,HFD,8,0,29.95,,16.4,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.19,14.4,0.03,11.36,"10:43:56 Apr 1, 2024; 83; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443997,3997,6A,L1,1,2/6/24,F,HFD,8,0,25.16,,18.1,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.08,16.17,0.06,11.98,"10:40:02 Apr 1, 2024; 76; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443998,3998,6A,M1,1,2/6/24,F,HFD,8,0,26.37,,18.3,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.1,16.49,0.08,13.13,"10:49:45 Apr 1, 2024; 84; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002443999,3999,6A,H2,1,2/6/24,F,HFD,8,0,27.92,,19.8,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.2,17.96,0.07,13,"10:51:44 Apr 1, 2024; 76; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002444000,4000,6A,I2,1,2/6/24,F,HFD,8,0,27.59,,17.9,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.27,16.25,0.13,11.55,"11:05:15 Apr 1, 2024; 89; Bartolomucci Lab",NA,D12451i,24030401/2.5kgi,
B00002444001,4001,6A,J2,1,2/6/24,F,LFD,8,0,27.31,,17.4,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.14,15.8,0.06,11.82,"11:07:26 Apr 1, 2024; 83; Bartolomucci Lab",NA,D12450Hi,24030810/2.5kgi ,
B00002444002,4002,6A,K2,1,2/6/24,F,LFD,8,0,27.32,,18.1,4/1/24,2B_EEGAP,ECHO_MRI_MEASUREMENT,1.18,16.56,0.09,11.75,"11:09:22 Apr 1, 2024; 83; Bartolomucci Lab",NA,D12450Hi,24030810/2.5kgi ,
