date_ymd,id,treatment,weight_gr,pellet_intake,service_time,record_time,battery,room,cage_rack,cage_position,notes
2/11/25,4802,,24.9,,,,,370-F,5B,A4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4803,,25.3,,,,,370-F,5B,B4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4804,,24.43,,,,,370-F,5B,C4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4805,,24.47,,,,,370-F,5B,D4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4806,,25.8,,,,,370-F,5B,E4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4807,,19.5,,,,,370-F,5B,F4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4808,,18.8,,,,,370-F,5B,G4,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
2/11/25,4809,,23.2,,,,,370-F,5B,G3,first measurement. The diet was code 2918 which means 2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet
,,,,,,,,,,,
2/12/25,4802,,25.03,,,,,370-F,5B,A4,
2/12/25,4803,,27.75,,,,,370-F,5B,B4,
2/12/25,4804,,23.87,,,,,370-F,5B,C4,
2/12/25,4805,,25.1,,,,,370-F,5B,D4,
2/12/25,4806,,25.47,,,,,370-F,5B,E4,
2/12/25,4807,,20.12,,,,,370-F,5B,F4,
2/12/25,4808,,17.18,,,,,370-F,5B,G4,
2/12/25,4809,,23.2,,,,,370-F,5B,G3,
,,,,,,,,,,,
2/14/25,4802,,24.5,,,,,370-F,5B,A4,
2/14/25,4803,,25.01,,,,,370-F,5B,B4,
2/14/25,4804,,25.26,,,,,370-F,5B,C4,
2/14/25,4805,,24.74,,,,,370-F,5B,D4,
2/14/25,4806,,,,,,,,,,
2/14/25,4807,,25.7,,,,,370-F,5B,F4,
2/14/25,4808,,19.37,,,,,370-F,5B,G4,
2/14/25,4809,,19.85,,,,,370-F,5B,G3,
,,,,,,,,,,,
2/15/25,4808,,13.66,,,,,370-F,5B,G4,Probably issues to obtaining water from the lixit 
,,,,,,,,,,,
2/19/25,4802,baseline,23.01,138,11:11:00 AM,,4,370-F,5B,A4,First 24 hrs without chow 1 sec delay
2/19/25,4803,baseline,24.2,117,11:12:00 AM,,4,370-F,5B,B4,First 24 hrs without chow 1 sec delay
2/19/25,4804,baseline,23.58,145,11:17:00 AM,,4,370-F,5B,C4,First 24 hrs without chow 1 sec delay
2/19/25,4805,baseline,22.07,17,11:25:00 AM,,4,370-F,5B,D4,First 24 hrs without chow 1 sec delay
2/19/25,4806,baseline,23.15,0,11:46:00 AM,,4,370-F,5B,E4,First 24 hrs without chow 1 sec delay
2/19/25,4807,baseline,18.17,0,11:51:00 AM,,4,370-F,5B,F4,First 24 hrs without chow 1 sec delay
2/19/25,4808,baseline,15,0,11:56:00 AM,,4,370-F,5B,G4,First 24 hrs without chow 1 sec delay
2/19/25,4809,baseline,22.91,146,12:06:00 PM,,4,370-F,5B,G3,First 24 hrs without chow 1 sec delay
,,,,,,,,,,,
2/20/25,4802,baseline,22.6,130,11:34:00 AM,11:37:00 AM,3.8,370-F,5B,A4,Second 24 hrs without chow 15 sec delay
2/20/25,4803,baseline,23.8,126,11:37:00 AM,11:41:00 AM,3.8,370-F,5B,B4,Second 24 hrs without chow 15 sec delay
2/20/25,4804,baseline,23.58,137,11:42:00 AM,11:48:00 AM,3.8,370-F,5B,C4,Second 24 hrs without chow 15 sec delay
2/20/25,4805,baseline,20.8,12,11:50:00 AM,1:46:00 PM,3.8,370-F,5B,D4,Second 24 hrs without chow 15 sec delay
2/20/25,4806,baseline,21.6,18,11:30:50 AM,13:56:00,3.8,370-F,5B,E4,Second 24 hrs without chow 15 sec delay
2/20/25,4807,baseline,16.97,9,11:04:00 AM,11:33:00 AM,3.9,370-F,5B,F4,Second 24 hrs without chow 15 sec delay
2/20/25,4808,baseline,15.96,5,10:54:00 AM,14:01:00,3.8,370-F,5B,G4,Second 24 hrs without chow 15 sec delay
2/20/25,4809,baseline,22.28,19,1:48:00 PM,1:51:00 PM,3.8,370-F,5B,G3,Second 24 hrs without chow 15 sec delay
,,,,,,,,,,,
2/21/25,4802,baseline,22.27,118,11:14:30 AM,11:16:25 AM,3.8,230-F,,,sable cage measurement day 1
2/21/25,4803,baseline,23.69,153,11:22:55 AM,11:30:00 AM,3.8,230-F,,,sable cage measurement day 1
2/21/25,4804,baseline,23.07,149,11:31:20 AM,11:34:00 AM,3.8,230-F,,,sable cage measurement day 1
